nct	group_norm	leaf_group	classification	distinguishing_basis	would_change_selection	source_file
NCT00077857	1250 mg/m^2 capecitabine + docetaxel	0	BASIS_EXISTS	timeFrame;assessment_criteria;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00077857	825 mg/m^2 capecitabine + docetaxel	0	BASIS_EXISTS	timeFrame;assessment_criteria;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00089999	lapatinib 1500 mg qd	0	BASIS_EXISTS	populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00089999	lapatinib 500 mg bid	0	BASIS_EXISTS	populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00095199	cetuximab & docetaxel	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00095199	cetuximab & pemetrexed	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00095199	docetaxel	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00095199	pemetrexed	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00101400	sorafenib (nexavar, bay43-9006)	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00146172	all solid tumors	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00146172	breast cancer	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00146172	lung cancer	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00154102	cetuximab plus folfiri	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00154102	folfiri alone	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00171834	patupilone (epo906) phase i	0	BASIS_EXISTS	timeFrame;assessment_criteria	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00171834	patupilone (epo906) phase ii	0	BASIS_EXISTS	timeFrame;assessment_criteria	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00226811	50 mg sunitinib	0	BASIS_EXISTS	populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00243074	azd2171	0	BASIS_EXISTS	title;timeFrame;assessment_criteria;populationDescription	yes (under an endpoint-concept preference for ORR over DCR/CBR/other)	LEAF-QC-group0.tsv
NCT00263588	cohort a	0	BASIS_EXISTS	title;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00263588	cohort b	0	BASIS_EXISTS	title;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00321893	arm i: budesonide	0	BASIS_EXISTS	assessment_criteria;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00321893	arm ii: placebo	0	BASIS_EXISTS	assessment_criteria;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00324155	ipilimumab and dacarbazine	0	BASIS_EXISTS	title;timeFrame;assessment_criteria	yes (under an endpoint-concept preference for ORR over DCR/CBR/other)	LEAF-QC-group0.tsv
NCT00324155	placebo and dacarbazine	0	BASIS_EXISTS	title;timeFrame;assessment_criteria	yes (under an endpoint-concept preference for ORR over DCR/CBR/other)	LEAF-QC-group0.tsv
NCT00332163	pre-emptive skin treatment	0	BASIS_EXISTS	timeFrame;assessment_criteria;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00332163	reactive skin treatment	0	BASIS_EXISTS	timeFrame;assessment_criteria;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00347438	capecitabine	0	BASIS_EXISTS	title;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00355238	group a (brivanib 800 mg qd)	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00355238	group b (brivanib 800 mg qd)	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00355238	group c (400 mg bid)	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00371345	er and/or pgr positive tumor, 100 mg bid dasatinib	0	BASIS_EXISTS	timeFrame;assessment_criteria;populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00371345	er and/or pgr positive tumor, 70 mg bid dasatinib	0	BASIS_EXISTS	timeFrame;assessment_criteria;populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00371345	her2/neu-amplified tumor, 100 mg bid	0	BASIS_EXISTS	timeFrame;assessment_criteria;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00371345	her2/neu-amplified tumor, 70 mg twice daily (bid) dasatinib	0	BASIS_EXISTS	timeFrame;assessment_criteria;populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00398567	part 2 - expanded mtd cohort	0	BASIS_EXISTS	title;timeFrame;assessment_criteria	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00407563	bevacizumab and abraxane	0	BASIS_EXISTS	timeFrame;populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00424047	lenalidomide plus dexamethasone	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00424047	placebo plus dexamethasone	0	BASIS_EXISTS	timeFrame	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00437268	enzastaurin+irinotecan+cetuximab	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00437268	irinotecan+cetuximab	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00444535	lapatinib + bevacizumab	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00447057	pemetrexed (nonsquamous)	0	BASIS_EXISTS	title;timeFrame;assessment_criteria	yes (under an endpoint-concept preference for ORR over DCR/CBR/other)	LEAF-QC-group0.tsv
NCT00447057	pemetrexed + erlotinib (nonsquamous)	0	BASIS_EXISTS	title;timeFrame;assessment_criteria	yes (under an endpoint-concept preference for ORR over DCR/CBR/other)	LEAF-QC-group0.tsv
NCT00448279	chemotherapy + trastuzumab	0	BASIS_EXISTS	assessment_criteria	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00448279	chemotherapy alone	0	BASIS_EXISTS	assessment_criteria	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00452673	100 mg dasatinib + 1000 mg/m^2capecitabine	0	BASIS_EXISTS	title;timeFrame;populationDescription;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00452673	50 mg dasatinib + 825 mg/m^2capecitabine	0	BASIS_EXISTS	title;timeFrame;populationDescription;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00452673	70 mg dasatinib + 1000 mg/m^2capecitabine	0	BASIS_EXISTS	title;timeFrame;populationDescription;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00452673	70 mg dasatinib + 825 mg/m^2capecitabine	0	BASIS_EXISTS	title;timeFrame;populationDescription;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00460798	sunitinib	0	BASIS_EXISTS	timeFrame;assessment_criteria;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00473590	bort + bv	0	BASIS_EXISTS	paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00473590	bort + p	0	BASIS_EXISTS	paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00493636	a (sorafenib + gemcitabine or capecitabine)	0	BASIS_EXISTS	timeFrame;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00493636	b (placebo + gemcitabine or capecitabine)	0	BASIS_EXISTS	timeFrame;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00527735	ipilimumab + paclitaxel/carboplatin (sequential)	0	BASIS_EXISTS	title;timeFrame;assessment_criteria;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00527735	ipilimumab/placebo + paclitaxil/carboplatin (concurrent)	0	BASIS_EXISTS	title;timeFrame;assessment_criteria;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00527735	placebo + paclitaxel/carboplatin	0	BASIS_EXISTS	title;timeFrame;assessment_criteria;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00533702	imc-1121b (ramucirumab)	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00533702	imc-1121b (ramucirumab) + dacarbazine	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00534417	capecitabine and fulvestrant	0	BASIS_EXISTS	title;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00537095	placebo	0	BASIS_EXISTS	title;timeFrame	yes (under an endpoint-concept preference for ORR over DCR/CBR/other)	LEAF-QC-group0.tsv
NCT00537095	zd6474	0	BASIS_EXISTS	title;timeFrame	yes (under an endpoint-concept preference for ORR over DCR/CBR/other)	LEAF-QC-group0.tsv
NCT00576199	bevacizumab 5 mg/kg	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00586105	sorafenib (nexavar, bay43-9006)	0	BASIS_EXISTS	timeFrame;populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00586495	sorafenib (nexavar, bay43-9006)	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00586924	10 mcg/kg	0	BASIS_EXISTS	populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00586924	5 mcg/kg	0	BASIS_EXISTS	populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00600015	combination therapy	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00600015	placebo	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00600340	bevacizumab plus capecitabine	0	BASIS_EXISTS	title;populationDescription	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00600340	bevacizumab plus paclitaxel	0	BASIS_EXISTS	title;populationDescription	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00605267	anastrozole 1 mg	0	BASIS_EXISTS	populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00605267	tamoxifen 20 mg	0	BASIS_EXISTS	populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00605722	bevacizumab + erlotinib	0	BASIS_EXISTS	title	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00607724	stage 1: gdc-0449 (540 mg)	0	BASIS_EXISTS	populationDescription	indeterminate (basis exists; no preregistered direction for this field)	LEAF-QC-group0.tsv
NCT00613626	arm a: zd6474 matched placebo	0	BASIS_EXISTS	title;populationDescription	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00613626	arm b: zd6474	0	BASIS_EXISTS	title;populationDescription	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00668148	adipocytic sarcoma	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00668148	ewing's sarcoma/pnet	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00668148	leiomyosarcoma	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
NCT00668148	rhabdomyosarcoma	0	BASIS_EXISTS	title;timeFrame	no (smallest index already the ORR-concept measure)	LEAF-QC-group0.tsv
