job2_artifact	job2_key	job2_value_summary	corrected_b_disposition	corrected_b_key	reason
SELECTED-cohort-response-measurements.tsv	NCT00001941||phase ii- 8 mg/kg cohort||om2	type=PRIMARY;denom=19;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00001941||phase ii- 8 mg/kg cohort	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00004859||arm a (paclitaxel + carboplatin + radiation )||om1	type=SECONDARY;denom=275;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00004859||arm a (paclitaxel + carboplatin + radiation )	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00004859||arm b (paclitaxel + carboplatin + radiation + thalidomide)||om1	type=SECONDARY;denom=271;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00004859||arm b (paclitaxel + carboplatin + radiation + thalidomide)	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00004888||arm i: doxorubicin and taxotere||om1	type=SECONDARY;denom=38;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00004888||arm i: doxorubicin and taxotere	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00004888||arm ii: doxorubicin, taxotere, and herceptin||om1	type=SECONDARY;denom=46;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00004888||arm ii: doxorubicin, taxotere, and herceptin	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00010257||thymic carcinoma||om0	type=PRIMARY;denom=20;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00010257||thymic carcinoma	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00010257||thymoma||om0	type=PRIMARY;denom=23;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00010257||thymoma	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00019682||arm i (aldesleukin)||om0	type=PRIMARY;denom=93;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00019682||arm i (aldesleukin)	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00019682||arm ii (gp100 antigen in montanide ida-51 and aldesleukin)||om0	type=PRIMARY;denom=85;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00019682||arm ii (gp100 antigen in montanide ida-51 and aldesleukin)	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00054353||related donor||om7	type=SECONDARY;denom=12;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00054353||related donor	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00054353||unrelated donor||om7	type=SECONDARY;denom=4;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00054353||unrelated donor	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00058552||pertuzumab 1050 mg||om0	type=PRIMARY;denom=62;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00058552||pertuzumab 1050 mg	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00058552||pertuzumab 420 mg||om0	type=PRIMARY;denom=55;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00058552||pertuzumab 420 mg	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062751||let 2.5 mg alone / cross-over to 75 mg intermittent cci-779||om0	type=PRIMARY;denom=0;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062751||let 2.5 mg alone / cross-over to 75 mg intermittent cci-779	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062751||let 2.5 mg plus 10 mg daily cci-779||om0	type=PRIMARY;denom=0;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062751||let 2.5 mg plus 10 mg daily cci-779	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062751||let 2.5 mg plus 25mg daily cci-779||om0	type=PRIMARY;denom=0;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062751||let 2.5 mg plus 25mg daily cci-779	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062751||let 2.5 mg plus 30 mg intermittent cci-779||om0	type=PRIMARY;denom=0;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062751||let 2.5 mg plus 30 mg intermittent cci-779	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062751||let 2.5 mg plus 75 mg intermittent cci-779||om0	type=PRIMARY;denom=0;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062751||let 2.5 mg plus 75 mg intermittent cci-779	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp1/2 ctls (alci) - group a dl1||om1	type=SECONDARY;denom=3;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp1/2 ctls (alci) - group a dl1	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp1/2 ctls (alci) - group a dl2||om1	type=SECONDARY;denom=4;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp1/2 ctls (alci) - group a dl2	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp1/2 ctls (alci) - group a dl3||om1	type=SECONDARY;denom=5;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp1/2 ctls (alci) - group a dl3	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
SELECTED-cohort-response-measurements.tsv	NCT00062868||lmp1/2 ctls (alci) - group a expansion||om1	type=SECONDARY;denom=15;resolved_by=a-d	RETAINED_AS_ONE_MEMBER_OF_A_RELATED_SET__SELECTION_WITHDRAWN	NCT00062868||lmp1/2 ctls (alci) - group a expansion	job2's single selected record per cohort is not adopted; all competing records are retained and the choice is left unresolved.
