v2_column	v3_column	status
nct	nct	CARRIED
om_title	om_title	CARRIED
group_title	group_title	CARRIED
evaluable_n	evaluable_n	CARRIED
era	era	CARRIED
family	family	CARRIED
n_arms_registered	n_arms_registered	CARRIED
n_results_groups_in_om	n_results_groups_in_om	CARRIED
arm_set_type_state	arm_set_type_state	CARRIED
registry_arm_types_in_record_verbatim	registry_arm_types_in_record_verbatim	CARRIED
arm_link_state	arm_link_state	CARRIED
arm_link_relation	arm_link_relation	CARRIED
arm_link_source	arm_link_source	CARRIED
arm_link_source_locator	arm_link_source_locator	CARRIED
n_candidate_arms	n_candidate_arms	CARRIED
candidate_arm_indices	candidate_arm_indices	CARRIED
candidate_arm_labels	candidate_arm_labels	CARRIED
candidate_arm_types_verbatim	candidate_arm_types_verbatim	CARRIED
bound_arm_index	bound_arm_index	CARRIED
bound_arm_label	bound_arm_label	CARRIED
bound_arm_registered_type_verbatim	bound_arm_registered_type_verbatim	CARRIED
comparator_role	comparator_role	CARRIED
comparator_role_basis	comparator_role_basis	CARRIED
registry_type_statement	registry_type_statement	CARRIED
registry_type_statement_assumption	registry_type_statement_assumption	CARRIED
contested_flags	contested_flags	CARRIED
leaf_claim_state	leaf_claim_state	CARRIED
leaf_claim_arm_label	leaf_claim_arm_label	CARRIED
leaf_claim_locator	leaf_claim_locator	CARRIED
leaf_claim_verification	leaf_claim_verification	CARRIED
leaf_narrative_verbatim_not_parsed	leaf_narrative_transformed_excerpt_not_parsed	RENAMED
sole_arm_multi_results_group_flag	sole_arm_multi_results_group_flag	CARRIED
v1_arm_link_state	v1_arm_link_state	CARRIED
v1_arm_link_evidence_code	v1_arm_link_evidence_code	CARRIED
v1_confirmed_registry_arm_label	v1_confirmed_registry_arm_label	CARRIED
v1_control_status	v1_control_status	CARRIED
job3_control_status	job3_control_status	CARRIED
disposition_vs_v1	disposition_vs_v1	CARRIED
group_description	group_description_transformed_excerpt	RENAMED
<NEW IN v3>	downgraded_candidate_arm_index	ADDED
<NEW IN v3>	downgraded_candidate_arm_label	ADDED
<NEW IN v3>	downgraded_candidate_registered_type_verbatim	ADDED
<NEW IN v3>	contrary_description_locator	ADDED
<NEW IN v3>	contrary_description_evidence_excerpt	ADDED
<NEW IN v3>	comparator_role_identity_assumption	ADDED
<NEW IN v3>	group_text_comparator_wording_unverified	ADDED
<NEW IN v3>	source_join_verification	ADDED
<NEW IN v3>	leaf_claim_verification_before_downgrade	ADDED
<NEW IN v3>	leaf_excerpt_transform	ADDED
<NEW IN v3>	leaf_excerpt_original_chars	ADDED
<NEW IN v3>	leaf_excerpt_at_400_char_cap	ADDED
<NEW IN v3>	group_description_transform	ADDED
<NEW IN v3>	group_description_original_chars	ADDED
