component	component_grain	component_record_key	integration_row_key	disposition	reason
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00066222|OM5|OG000	NCT00066222|OM5|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00066222|Tumor Response|Radiation Therapy + Chemotherapy	NCT00066222|OM5|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00066222#om5#OG000	NCT00066222|OM5|OG000	NOT_PRESENT_IN_B:TRIAL_OUTSIDE_B_CORPUS_SCOPE	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00183820|OM0|OG000	NCT00183820|OM0|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00183820|Tumor Response|Paclitaxel, Gemcitabine, and Oxaliplatin	NCT00183820|OM0|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00183820#om0#OG000	NCT00183820|OM0|OG000	NOT_PRESENT_IN_B:TRIAL_OUTSIDE_B_CORPUS_SCOPE	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00298896|OM1|OG000	NCT00298896|OM1|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00298896|Best Overall Response|SNS-595	NCT00298896|OM1|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00298896#om1#OG000	NCT00298896|OM1|OG000	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00301067|OM2|OG000	NCT00301067|OM2|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00301067|Tumor Response|Temozolomide and Calcitriol (Cohort 1-3+Expansion)	NCT00301067|OM2|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00301067#om2#OG000	NCT00301067|OM2|OG000	NOT_PRESENT_IN_B:MEASURE_OUTSIDE_B_TITLE_BOUNDARY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00389805|OM6|OG000	NCT00389805|OM6|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00389805|Number of Participants With Response to Therapy as Measured by RECIST (Phase I)|Arm A	NCT00389805|OM6|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00389805#om6#OG000	NCT00389805|OM6|OG000	NOT_PRESENT_IN_B:TRIAL_OUTSIDE_B_CORPUS_SCOPE	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00389805|OM6|OG001	NCT00389805|OM6|OG001	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00389805|Number of Participants With Response to Therapy as Measured by RECIST (Phase I)|Arm B	NCT00389805|OM6|OG001	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00389805#om6#OG001	NCT00389805|OM6|OG001	NOT_PRESENT_IN_B:TRIAL_OUTSIDE_B_CORPUS_SCOPE	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00600340|OM3|OG000	NCT00600340|OM3|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00600340|Best Overall Response (ITT Population)|Bevacizumab Plus Paclitaxel	NCT00600340|OM3|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00600340#om3#OG000	NCT00600340|OM3|OG000	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00600340|OM3|OG001	NCT00600340|OM3|OG001	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00600340|Best Overall Response (ITT Population)|Bevacizumab Plus Capecitabine	NCT00600340|OM3|OG001	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00600340#om3#OG001	NCT00600340|OM3|OG001	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00600340|OM4|OG000	NCT00600340|OM4|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00600340|Best Overall Response (PP Population)|Bevacizumab Plus Paclitaxel	NCT00600340|OM4|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00600340#om4#OG000	NCT00600340|OM4|OG000	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00600340|OM4|OG001	NCT00600340|OM4|OG001	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00600340|Best Overall Response (PP Population)|Bevacizumab Plus Capecitabine	NCT00600340|OM4|OG001	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00600340#om4#OG001	NCT00600340|OM4|OG001	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00600340|OM5|OG000	NCT00600340|OM5|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00600340|Unconfirmed Best Overall Response (ITT Population)|Bevacizumab Plus Paclitaxel	NCT00600340|OM5|OG000	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00600340#om5#OG000	NCT00600340|OM5|OG000	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00600340|OM5|OG001	NCT00600340|OM5|OG001	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
CORRECTED-C-v3	(nct,om_title,group_title,evaluable_n)	NCT00600340|Unconfirmed Best Overall Response (ITT Population)|Bevacizumab Plus Capecitabine	NCT00600340|OM5|OG001	JOINED_TO_A_ON_TITLE_BRIDGE	C2 carries no om_index/group_id; the (nct,om_title,group_title) bridge is unique on both sides (check J2).
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00600340#om5#OG001	NCT00600340|OM5|OG001	JOINED_TO_A_ON_OBSERVATION_KEY	B's corpus boundary is job2's response-title regex over 4,235 results trials; A/C's 552 keys come from job1's contract rows. The difference is retained, never inner-joined away.
CORRECTED-A-v2	(nct_id,om_index,group_id)	NCT00600340|OM6|OG000	NCT00600340|OM6|OG000	CARRIED_INTO_INTEGRATED_LEDGER	A2 is the integration spine; every A2 row is present exactly once. A2 changed no row data value against A1 (its own check D8).
