nct_id	payload_shard	om_index	om_title	group_id	group_title	class_index	class_title	category_index	category_title	category_value_raw	category_value_is_integer	category_value_int	producer_label_assigned	producer_kept	reported_denominator_participants	denominator_units_available	source_pointer
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0		0	CR	0	yes	0	CR	yes	71	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[0] :: groups[OG000]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0		1	PR	3	yes	3	PR	yes	71	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[1] :: groups[OG000]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0		2	SD	11	yes	11	SD	yes	71	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[2] :: groups[OG000]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0		3	SD/ PR	3	yes	3	SD	yes	71	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[3] :: groups[OG000]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0		4	PD	51	yes	51	PD	yes	71	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[4] :: groups[OG000]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0		5	NE	3	yes	3	NONE	no	71	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[5] :: groups[OG000]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG000	GSK2132231A GS+ Group	0		6	Missing	0	yes	0	NONE	no	71	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[6] :: groups[OG000]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0		0	CR	1	yes	1	CR	yes	50	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[0] :: groups[OG001]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0		1	PR	0	yes	0	PR	yes	50	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[1] :: groups[OG001]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0		2	SD	4	yes	4	SD	yes	50	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[2] :: groups[OG001]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0		3	SD/ PR	0	yes	0	SD	yes	50	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[3] :: groups[OG001]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0		4	PD	44	yes	44	PD	yes	50	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[4] :: groups[OG001]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0		5	NE	1	yes	1	NONE	no	50	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[5] :: groups[OG001]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG001	GSK2132231A GS- Group	0		6	Missing	0	yes	0	NONE	no	50	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[6] :: groups[OG001]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0		0	CR	0	yes	0	CR	yes	2	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[0] :: groups[OG002]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0		1	PR	0	yes	0	PR	yes	2	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[1] :: groups[OG002]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0		2	SD	0	yes	0	SD	yes	2	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[2] :: groups[OG002]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0		3	SD/ PR	0	yes	0	SD	yes	2	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[3] :: groups[OG002]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0		4	PD	2	yes	2	PD	yes	2	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[4] :: groups[OG002]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0		5	NE	0	yes	0	NONE	no	2	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[5] :: groups[OG002]
NCT00942162	ctg_results_bor_1999_2009	7	Best Overall Response (BOR) by GS	OG002	GSK2132231A GS-unknown Group	0		6	Missing	0	yes	0	NONE	no	2	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: classes[0] :: categories[6] :: groups[OG002]
NCT00858117	ctg_results_bor_1999_2009	3	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Lymphadenopathy and Organomegaly Measured During Physical Examination	OG000	Alemtuzumab and Rituximab	0		0	Complete Remission	18	yes	18	CR	yes	30	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00858117] :: outcomeMeasures[3] :: classes[0] :: categories[0] :: groups[OG000]
NCT00858117	ctg_results_bor_1999_2009	3	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Lymphadenopathy and Organomegaly Measured During Physical Examination	OG000	Alemtuzumab and Rituximab	0		1	Partial Remission	12	yes	12	PR	yes	30	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00858117] :: outcomeMeasures[3] :: classes[0] :: categories[1] :: groups[OG000]
NCT00858117	ctg_results_bor_1999_2009	3	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Lymphadenopathy and Organomegaly Measured During Physical Examination	OG000	Alemtuzumab and Rituximab	0		2	Stable Disease	0	yes	0	SD	yes	30	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00858117] :: outcomeMeasures[3] :: classes[0] :: categories[2] :: groups[OG000]
NCT00858117	ctg_results_bor_1999_2009	3	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Lymphadenopathy and Organomegaly Measured During Physical Examination	OG000	Alemtuzumab and Rituximab	0		3	Progressive Disease	0	yes	0	PD	yes	30	Participants	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00858117] :: outcomeMeasures[3] :: classes[0] :: categories[3] :: groups[OG000]
