category_title_verbatim	records	distinct_nct	producer_labels_assigned	records_kept_by_producer	records_dropped_by_producer	response_assessment_category_title_flag	non_evaluable_title_flag	folded	note
Unknown	155	13	NONE	0	155	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Complete Response (CR)	147	30	CR	147	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Partial Response (PR)	146	30	PR	146	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Stable Disease (SD)	140	27	SD	140	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Complete Response	137	52	CR	137	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Stable Disease	136	53	SD	136	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Progressive Disease	134	52	PD	134	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Partial Response	131	50	PR	131	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
CR	130	23	CR	130	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
PD	130	23	PD	130	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
PR	130	23	PR	130	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Progressive Disease (PD)	127	27	PD	127	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
SD	116	21	SD	116	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Progressive disease	107	27	PD	107	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Stable disease	106	26	SD	106	0	no	no	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
Not Evaluable	77	23	NONE	0	77	no	yes	NO	preserved verbatim under its own source definition; not mapped to any common numerator vocabulary
