nct	group_norm	payload	results_group_id	om_type	participants_denom	n_competing	om_indices	constructs	assessment_criteria	classification	distinguishing_fields	selected_om_index	selected_title	would_change_selection	alternative_if_construct_rule_added	competing_titles	competing_timeframes	competing_population_descriptions	competing_paramtypes	competing_units	notes
NCT03744468	phase 1 (dose escalation): surzebiclimab 2 mg + tislelizumab	ctg_results_bor_2018_2021	OG000	SECONDARY	1	2	8;10	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	8	Phase 1: Overall Response Rate (ORR)	NO		Phase 1: Overall Response Rate (ORR) ||| Phase 1: Disease Control Rate (DCR)	Maximum time on study: up to 57.5 months ||| Maximum time on study: up to 57.5 months	Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03744468	phase 1 (dose escalation): surzebiclimab 6 mg + tislelizumab	ctg_results_bor_2018_2021	OG001	SECONDARY	1	2	8;10	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	8	Phase 1: Overall Response Rate (ORR)	NO		Phase 1: Overall Response Rate (ORR) ||| Phase 1: Disease Control Rate (DCR)	Maximum time on study: up to 57.5 months ||| Maximum time on study: up to 57.5 months	Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03744468	phase 1 (dose escalation): surzebiclimab 20 mg + tislelizumab	ctg_results_bor_2018_2021	OG002	SECONDARY	3	2	8;10	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	8	Phase 1: Overall Response Rate (ORR)	NO		Phase 1: Overall Response Rate (ORR) ||| Phase 1: Disease Control Rate (DCR)	Maximum time on study: up to 57.5 months ||| Maximum time on study: up to 57.5 months	Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03744468	phase 1 (dose escalation): surzebiclimab 60 mg + tislelizumab	ctg_results_bor_2018_2021	OG003	SECONDARY	5	2	8;10	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	8	Phase 1: Overall Response Rate (ORR)	NO		Phase 1: Overall Response Rate (ORR) ||| Phase 1: Disease Control Rate (DCR)	Maximum time on study: up to 57.5 months ||| Maximum time on study: up to 57.5 months	Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03744468	phase 1 (dose escalation): surzebiclimab 200 mg + tislelizumab	ctg_results_bor_2018_2021	OG004	SECONDARY	6	2	8;10	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	8	Phase 1: Overall Response Rate (ORR)	NO		Phase 1: Overall Response Rate (ORR) ||| Phase 1: Disease Control Rate (DCR)	Maximum time on study: up to 57.5 months ||| Maximum time on study: up to 57.5 months	Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03744468	phase 1 (dose escalation): surzebiclimab 400 mg + tislelizumab	ctg_results_bor_2018_2021	OG005	SECONDARY	4	2	8;10	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	8	Phase 1: Overall Response Rate (ORR)	NO		Phase 1: Overall Response Rate (ORR) ||| Phase 1: Disease Control Rate (DCR)	Maximum time on study: up to 57.5 months ||| Maximum time on study: up to 57.5 months	Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03744468	phase 1 (dose escalation): surzebiclimab 800 mg + tislelizumab	ctg_results_bor_2018_2021	OG006	SECONDARY	7	2	8;10	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	8	Phase 1: Overall Response Rate (ORR)	NO		Phase 1: Overall Response Rate (ORR) ||| Phase 1: Disease Control Rate (DCR)	Maximum time on study: up to 57.5 months ||| Maximum time on study: up to 57.5 months	Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03744468	phase 1 (dose escalation): surzebiclimab 1600 mg + tislelizumab	ctg_results_bor_2018_2021	OG007	SECONDARY	3	2	8;10	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	8	Phase 1: Overall Response Rate (ORR)	NO		Phase 1: Overall Response Rate (ORR) ||| Phase 1: Disease Control Rate (DCR)	Maximum time on study: up to 57.5 months ||| Maximum time on study: up to 57.5 months	Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03744468	phase 1 (dose escalation): surzebiclimab 60 mg	ctg_results_bor_2018_2021	OG008	SECONDARY	1	2	8;10	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	8	Phase 1: Overall Response Rate (ORR)	NO		Phase 1: Overall Response Rate (ORR) ||| Phase 1: Disease Control Rate (DCR)	Maximum time on study: up to 57.5 months ||| Maximum time on study: up to 57.5 months	Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	
NCT03744468	phase 1 (dose escalation): surzebiclimab 1600 mg	ctg_results_bor_2018_2021	OG009	SECONDARY	0	2	8;10	ORR;DCR	RECIST1.1;RECIST1.1	BASIS_EXISTS	construct=ORR|DCR	8	Phase 1: Overall Response Rate (ORR)	NO		Phase 1: Overall Response Rate (ORR) ||| Phase 1: Disease Control Rate (DCR)	Maximum time on study: up to 57.5 months ||| Maximum time on study: up to 57.5 months	Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set. ||| Analysis was performed on efficacy evaluable analysis set. The participant in the 'Phase 1 (Dose Escalation): Surzebiclimab 1600 mg' cohort was not included in the efficacy evaluable analysis set.	NUMBER;NUMBER	percentage of participants;percentage of participants	Participants denominator = 0 for this group
