nct	payload	payload_line	om_index	om_title	group_id	group_title	n_arms_registered	job3_arm_match_quality	job3_registry_arm_label	job3_registry_arm_type	job3_control_status	recovered_arm_index	recovered_arm_label	recovered_arm_type	join_field	join_class	control_status_implied	contradiction_flag	note	source_pointer
NCT00301067	ctg_results_bor_1999_2009.txt	192	2	Tumor Response	OG000	Temozolomide and Calcitriol (Cohort 1-3+Expansion)	4	NONE			UNKNOWN	0; 1; 2; 3	Cohort 1 - Temozolomide and Calcitriol; Cohort 2 - Temozolomide and Calcitriol; Cohort 3 - Temozolomide and Calcitriol; Expansion - Temozolomide and Calcitriol	EXPERIMENTAL	group_title token enumeration 'Cohort 1-3+Expansion' vs the four armGroups[].label ('Cohort 1/2/3 - ...','Expansion - ...'); group description calcitriol dose set {0.2,0.3,0.5} = union of armGroups[0..3].description doses	JOIN_RECOVERABLE	NOT_CONTROL (all joined arms registered EXPERIMENTAL; no comparator arm type registered in this trial)		pooled group over all 4 registered arms; arm type determinate because all 4 are EXPERIMENTAL	ctg_results_bor_1999_2009.txt line 192 | NCT00301067 | outcomeMeasures[2] | group OG000
NCT00389805	ctg_results_bor_1999_2009.txt	206	6	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	OG000	Arm A	0	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL				none - protocolSection.armsInterventionsModule is the empty object {}	GENUINELY_UNJOINABLE	UNKNOWN (unchanged)	FLAG: Job 3 recorded NOT_CONTROL_SINGLE_ARM_TRIAL with basis 'trial registers 0 arm group(s)'; 0 registered arms is absence of registration, not evidence of one arm, and this trial reports 2 distinct results groups (Arm A d1,4,8,11 vs Arm B d1,8)	no armGroups array exists in the record, so no armGroupType exists to join to	ctg_results_bor_1999_2009.txt line 206 | NCT00389805 | outcomeMeasures[6] | group OG000
NCT00389805	ctg_results_bor_1999_2009.txt	206	6	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	OG001	Arm B	0	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL				none - protocolSection.armsInterventionsModule is the empty object {}	GENUINELY_UNJOINABLE	UNKNOWN (unchanged)	FLAG: Job 3 recorded NOT_CONTROL_SINGLE_ARM_TRIAL with basis 'trial registers 0 arm group(s)'; 0 registered arms is absence of registration, not evidence of one arm, and this trial reports 2 distinct results groups (Arm A d1,4,8,11 vs Arm B d1,8)	no armGroups array exists in the record, so no armGroupType exists to join to	ctg_results_bor_1999_2009.txt line 206 | NCT00389805 | outcomeMeasures[6] | group OG001
NCT00600340	ctg_results_bor_1999_2009.txt	638	3	Best Overall Response (ITT Population)	OG001	Bevacizumab Plus Capecitabine	2	NONE			UNKNOWN	1	B Bev+Cap	ACTIVE_COMPARATOR	armGroups[1].description casefold-equals group_title exactly ('Bevacizumab plus Capecitabine'); corroborated by armGroups[1].interventionNames	JOIN_RECOVERABLE	REGISTERED_COMPARATOR_ARM (armGroupType=ACTIVE_COMPARATOR; an active comparator, not placebo/untreated)	RESOLVES Job 3 UNKNOWN to ACTIVE_COMPARATOR - the only comparator-typed arms in this group of 16 trials	Job 3 compared group title to arm LABEL ('A Bev+Pac') only; the arm DESCRIPTION is an exact match	ctg_results_bor_1999_2009.txt line 638 | NCT00600340 | outcomeMeasures[3] | group OG001
NCT00600340	ctg_results_bor_1999_2009.txt	638	3	Best Overall Response (ITT Population)	OG000	Bevacizumab Plus Paclitaxel	2	NONE			UNKNOWN	0	A Bev+Pac	ACTIVE_COMPARATOR	armGroups[0].description casefold-equals group_title exactly ('Bevacizumab plus Paclitaxel'); corroborated by armGroups[0].interventionNames	JOIN_RECOVERABLE	REGISTERED_COMPARATOR_ARM (armGroupType=ACTIVE_COMPARATOR; an active comparator, not placebo/untreated)	RESOLVES Job 3 UNKNOWN to ACTIVE_COMPARATOR - the only comparator-typed arms in this group of 16 trials	Job 3 compared group title to arm LABEL ('A Bev+Pac') only; the arm DESCRIPTION is an exact match	ctg_results_bor_1999_2009.txt line 638 | NCT00600340 | outcomeMeasures[3] | group OG000
NCT00600340	ctg_results_bor_1999_2009.txt	638	4	Best Overall Response (PP Population)	OG001	Bevacizumab Plus Capecitabine	2	NONE			UNKNOWN	1	B Bev+Cap	ACTIVE_COMPARATOR	armGroups[1].description casefold-equals group_title exactly ('Bevacizumab plus Capecitabine'); corroborated by armGroups[1].interventionNames	JOIN_RECOVERABLE	REGISTERED_COMPARATOR_ARM (armGroupType=ACTIVE_COMPARATOR; an active comparator, not placebo/untreated)	RESOLVES Job 3 UNKNOWN to ACTIVE_COMPARATOR - the only comparator-typed arms in this group of 16 trials	Job 3 compared group title to arm LABEL ('A Bev+Pac') only; the arm DESCRIPTION is an exact match	ctg_results_bor_1999_2009.txt line 638 | NCT00600340 | outcomeMeasures[4] | group OG001
NCT00600340	ctg_results_bor_1999_2009.txt	638	4	Best Overall Response (PP Population)	OG000	Bevacizumab Plus Paclitaxel	2	NONE			UNKNOWN	0	A Bev+Pac	ACTIVE_COMPARATOR	armGroups[0].description casefold-equals group_title exactly ('Bevacizumab plus Paclitaxel'); corroborated by armGroups[0].interventionNames	JOIN_RECOVERABLE	REGISTERED_COMPARATOR_ARM (armGroupType=ACTIVE_COMPARATOR; an active comparator, not placebo/untreated)	RESOLVES Job 3 UNKNOWN to ACTIVE_COMPARATOR - the only comparator-typed arms in this group of 16 trials	Job 3 compared group title to arm LABEL ('A Bev+Pac') only; the arm DESCRIPTION is an exact match	ctg_results_bor_1999_2009.txt line 638 | NCT00600340 | outcomeMeasures[4] | group OG000
NCT00600340	ctg_results_bor_1999_2009.txt	638	5	Unconfirmed Best Overall Response (ITT Population)	OG001	Bevacizumab Plus Capecitabine	2	NONE			UNKNOWN	1	B Bev+Cap	ACTIVE_COMPARATOR	armGroups[1].description casefold-equals group_title exactly ('Bevacizumab plus Capecitabine'); corroborated by armGroups[1].interventionNames	JOIN_RECOVERABLE	REGISTERED_COMPARATOR_ARM (armGroupType=ACTIVE_COMPARATOR; an active comparator, not placebo/untreated)	RESOLVES Job 3 UNKNOWN to ACTIVE_COMPARATOR - the only comparator-typed arms in this group of 16 trials	Job 3 compared group title to arm LABEL ('A Bev+Pac') only; the arm DESCRIPTION is an exact match	ctg_results_bor_1999_2009.txt line 638 | NCT00600340 | outcomeMeasures[5] | group OG001
NCT00600340	ctg_results_bor_1999_2009.txt	638	5	Unconfirmed Best Overall Response (ITT Population)	OG000	Bevacizumab Plus Paclitaxel	2	NONE			UNKNOWN	0	A Bev+Pac	ACTIVE_COMPARATOR	armGroups[0].description casefold-equals group_title exactly ('Bevacizumab plus Paclitaxel'); corroborated by armGroups[0].interventionNames	JOIN_RECOVERABLE	REGISTERED_COMPARATOR_ARM (armGroupType=ACTIVE_COMPARATOR; an active comparator, not placebo/untreated)	RESOLVES Job 3 UNKNOWN to ACTIVE_COMPARATOR - the only comparator-typed arms in this group of 16 trials	Job 3 compared group title to arm LABEL ('A Bev+Pac') only; the arm DESCRIPTION is an exact match	ctg_results_bor_1999_2009.txt line 638 | NCT00600340 | outcomeMeasures[5] | group OG000
NCT00600340	ctg_results_bor_1999_2009.txt	638	6	Unconfirmed Best Overall Response (PP Population)	OG001	Bevacizumab Plus Capecitabine	2	NONE			UNKNOWN	1	B Bev+Cap	ACTIVE_COMPARATOR	armGroups[1].description casefold-equals group_title exactly ('Bevacizumab plus Capecitabine'); corroborated by armGroups[1].interventionNames	JOIN_RECOVERABLE	REGISTERED_COMPARATOR_ARM (armGroupType=ACTIVE_COMPARATOR; an active comparator, not placebo/untreated)	RESOLVES Job 3 UNKNOWN to ACTIVE_COMPARATOR - the only comparator-typed arms in this group of 16 trials	Job 3 compared group title to arm LABEL ('A Bev+Pac') only; the arm DESCRIPTION is an exact match	ctg_results_bor_1999_2009.txt line 638 | NCT00600340 | outcomeMeasures[6] | group OG001
