nct	group_norm	group_title_source	results_group_id	payload	n_candidates	outcome_indices	selected_index	outcome_type	participants_denominator	classification	primary_basis	all_bases	distinguishing_field	values_by_index	titles_by_index	reported_cells_differ	would_change_selection	would_change_to_index
NCT02519348	china cohort: durvalumab 20 mg/kg	China Cohort: Durvalumab 20 mg/kg	5:OG006,6:OG006	ctg_results_bor_2014_2017.txt	2	5,6	5	SECONDARY	3	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|STRUCTURE	title (endpoint construct named)	[5] ORR || [6] DCR	[5] Overall Objective Response Rate (ORR) Based on Investigator Assessments and Blinded Independent Central Review… || [6] Disease Control Rate (DCR) Based on Investigator Assessments and BICR	True	NOT_DETERMINED	
NCT02519348	china cohort: tremelimumab 1 mg/kg + durvalumab 20 mg/kg	China Cohort: Tremelimumab 1 mg/kg + Durvalumab 20 mg/kg	5:OG008,6:OG008	ctg_results_bor_2014_2017.txt	2	5,6	5	SECONDARY	6	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|STRUCTURE	title (endpoint construct named)	[5] ORR || [6] DCR	[5] Overall Objective Response Rate (ORR) Based on Investigator Assessments and Blinded Independent Central Review… || [6] Disease Control Rate (DCR) Based on Investigator Assessments and BICR	True	NOT_DETERMINED	
NCT02519348	china cohort: tremelimumab 10 mg/kg	China Cohort: Tremelimumab 10 mg/kg	5:OG007,6:OG007	ctg_results_bor_2014_2017.txt	2	5,6	5	SECONDARY	5	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|STRUCTURE	title (endpoint construct named)	[5] ORR || [6] DCR	[5] Overall Objective Response Rate (ORR) Based on Investigator Assessments and Blinded Independent Central Review… || [6] Disease Control Rate (DCR) Based on Investigator Assessments and BICR	True	NOT_DETERMINED	
NCT02519348	part 1: tremelimumab 1 mg/kg + durvalumab 20 mg/kg	Part 1: Tremelimumab 1 mg/kg + Durvalumab 20 mg/kg	5:OG000,6:OG000	ctg_results_bor_2014_2017.txt	2	5,6	5	SECONDARY	40	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|STRUCTURE	title (endpoint construct named)	[5] ORR || [6] DCR	[5] Overall Objective Response Rate (ORR) Based on Investigator Assessments and Blinded Independent Central Review… || [6] Disease Control Rate (DCR) Based on Investigator Assessments and BICR	True	NOT_DETERMINED	
NCT02519348	part 4: durvalumab 1120 mg + bevacizumab 15 mg/kg	Part 4: Durvalumab 1120 mg + Bevacizumab 15 mg/kg	5:OG005,6:OG005	ctg_results_bor_2014_2017.txt	2	5,6	5	SECONDARY	47	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|STRUCTURE	title (endpoint construct named)	[5] ORR || [6] DCR	[5] Overall Objective Response Rate (ORR) Based on Investigator Assessments and Blinded Independent Central Review… || [6] Disease Control Rate (DCR) Based on Investigator Assessments and BICR	True	NOT_DETERMINED	
NCT02519348	parts 2 and 3: durvalumab 1500 mg	Parts 2 and 3: Durvalumab 1500 mg	5:OG001,6:OG001	ctg_results_bor_2014_2017.txt	2	5,6	5	SECONDARY	104	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|STRUCTURE	title (endpoint construct named)	[5] ORR || [6] DCR	[5] Overall Objective Response Rate (ORR) Based on Investigator Assessments and Blinded Independent Central Review… || [6] Disease Control Rate (DCR) Based on Investigator Assessments and BICR	True	NOT_DETERMINED	
NCT02519348	parts 2 and 3: tremelimumab 300 mg + durvalumab 1500 mg	Parts 2 and 3: Tremelimumab 300 mg + Durvalumab 1500 mg	5:OG002,6:OG002	ctg_results_bor_2014_2017.txt	2	5,6	5	SECONDARY	75	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|STRUCTURE	title (endpoint construct named)	[5] ORR || [6] DCR	[5] Overall Objective Response Rate (ORR) Based on Investigator Assessments and Blinded Independent Central Review… || [6] Disease Control Rate (DCR) Based on Investigator Assessments and BICR	True	NOT_DETERMINED	
NCT02519348	parts 2 and 3: tremelimumab 75 mg + durvalumab 1500 mg	Parts 2 and 3: Tremelimumab 75 mg + Durvalumab 1500 mg	5:OG004,6:OG004	ctg_results_bor_2014_2017.txt	2	5,6	5	SECONDARY	84	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|STRUCTURE	title (endpoint construct named)	[5] ORR || [6] DCR	[5] Overall Objective Response Rate (ORR) Based on Investigator Assessments and Blinded Independent Central Review… || [6] Disease Control Rate (DCR) Based on Investigator Assessments and BICR	True	NOT_DETERMINED	
NCT02519348	parts 2 and 3: tremelimumab 750 mg	Parts 2 and 3: Tremelimumab 750 mg	5:OG003,6:OG003	ctg_results_bor_2014_2017.txt	2	5,6	5	SECONDARY	69	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|STRUCTURE	title (endpoint construct named)	[5] ORR || [6] DCR	[5] Overall Objective Response Rate (ORR) Based on Investigator Assessments and Blinded Independent Central Review… || [6] Disease Control Rate (DCR) Based on Investigator Assessments and BICR	True	NOT_DETERMINED	
NCT02520141	phase ii open-label, single arm study of ramucirumab administered at 8 mg/kg iv	Phase II Open-label, Single Arm Study of Ramucirumab Administered at 8 mg/kg IV	2:OG000,3:OG000	ctg_results_bor_2014_2017.txt	2	2,3	2	SECONDARY	60	BASIS_EXISTS	ENDPOINT_CONSTRUCT	ENDPOINT_CONSTRUCT|PARAM_UNIT	title (endpoint construct named)	[2] ORR || [3] DCR	[2] Overall Response Rate (RR) || [3] Percentage of Disease Control Rate	True	NOT_DETERMINED	
