record_type	nct_id	shard	outcome_measure_index	outcome_measure_title	group_id	group_title	class_index	class_title	category_index	category_title	category_value	category_is_integer	producer_label	producer_kept	class_all_category_sum	reported_denominator	contributing_class_sum	residual_sum_minus_reported	n_contributing_classes	verdict	note	source_pointer
CLASS	NCT01744249	ctg_placebo_onc_2010_2013	1	Objective Response Rate (ORR) (Investigator Assessment)	OG000	Axitinib + Sandostatin LAR	0								126	126	126	0	1	RECOVERABLE	sum of cells 118 != reported denominator 126 (difference -8)	ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[1] :: groups[OG000] :: classes[0]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	1	Objective Response Rate (ORR) (Investigator Assessment)	OG000	Axitinib + Sandostatin LAR	0		0	Complete response	2	yes	CR	yes	126	126	126	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[1] :: groups[OG000] :: classes[0] :: categories[0]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	1	Objective Response Rate (ORR) (Investigator Assessment)	OG000	Axitinib + Sandostatin LAR	0		1	Partial response	20	yes	PR	yes	126	126	126	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[1] :: groups[OG000] :: classes[0] :: categories[1]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	1	Objective Response Rate (ORR) (Investigator Assessment)	OG000	Axitinib + Sandostatin LAR	0		2	Stable disease	87	yes	SD	yes	126	126	126	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[1] :: groups[OG000] :: classes[0] :: categories[2]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	1	Objective Response Rate (ORR) (Investigator Assessment)	OG000	Axitinib + Sandostatin LAR	0		3	Progressive disease	9	yes	PD	yes	126	126	126	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[1] :: groups[OG000] :: classes[0] :: categories[3]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	1	Objective Response Rate (ORR) (Investigator Assessment)	OG000	Axitinib + Sandostatin LAR	0		4	Not evaluable	8	yes		dropped	126	126	126	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[1] :: groups[OG000] :: classes[0] :: categories[4]
CLASS	NCT01744249	ctg_placebo_onc_2010_2013	1	Objective Response Rate (ORR) (Investigator Assessment)	OG001	Placebo + Sandostatin LAR	0								130	130	130	0	1	RECOVERABLE	sum of cells 127 != reported denominator 130 (difference -3)	ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[1] :: groups[OG001] :: classes[0]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	1	Objective Response Rate (ORR) (Investigator Assessment)	OG001	Placebo + Sandostatin LAR	0		0	Complete response	1	yes	CR	yes	130	130	130	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[1] :: groups[OG001] :: classes[0] :: categories[0]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	1	Objective Response Rate (ORR) (Investigator Assessment)	OG001	Placebo + Sandostatin LAR	0		1	Partial response	5	yes	PR	yes	130	130	130	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[1] :: groups[OG001] :: classes[0] :: categories[1]
CATEGORY	NCT01744249	ctg_placebo_onc_2010_2013	1	Objective Response Rate (ORR) (Investigator Assessment)	OG001	Placebo + Sandostatin LAR	0		2	Stable disease	96	yes	SD	yes	130	130	130	0	1	RECOVERABLE		ctg_placebo_onc_2010_2013.txt :: studies[nct=NCT01744249] :: outcomeMeasures[1] :: groups[OG001] :: classes[0] :: categories[2]
