nct	om_index	om_title	group_id	group_title	evaluable_n	job3_arm_match_quality	job3_registry_arm_label	job3_registry_arm_type	job3_control_status	job3_control_flag	n_arms_registered	recovered_arm_index	recovered_arm_label	recovered_arm_type	join_field	verdict	implied_control_status	relation_to_job3	job3_arm_label_disagrees	note
NCT02593786	3	Best Overall Response (BOR)	OG000	Cohort A: Nivolumab 3 mg/kg Q2W	14	NONE			UNKNOWN		2				armGroups labels/descriptions/interventionNames	UNRESOLVED	UNKNOWN			4 dose cohorts A-D vs 2 arms ('Nivolumab monotherapy','Cohort Expansion'); both arms carry identical description 'Nivolumab specified dose on specified days' and intervention ['Drug: Nivolumab'], so no field in the record assigns a cohort to a specific arm. Arm TYPE is nevertheless uniform (both EXPERIMENTAL).
NCT02593786	3	Best Overall Response (BOR)	OG001	Cohort B: Nivolumab 240 mg Q2W	19	NONE			UNKNOWN		2				armGroups labels/descriptions/interventionNames	UNRESOLVED	UNKNOWN			4 dose cohorts A-D vs 2 arms ('Nivolumab monotherapy','Cohort Expansion'); both arms carry identical description 'Nivolumab specified dose on specified days' and intervention ['Drug: Nivolumab'], so no field in the record assigns a cohort to a specific arm. Arm TYPE is nevertheless uniform (both EXPERIMENTAL).
NCT02593786	3	Best Overall Response (BOR)	OG002	Cohort C: Nivolumab 360 mg Q3W	11	NONE			UNKNOWN		2				armGroups labels/descriptions/interventionNames	UNRESOLVED	UNKNOWN			4 dose cohorts A-D vs 2 arms ('Nivolumab monotherapy','Cohort Expansion'); both arms carry identical description 'Nivolumab specified dose on specified days' and intervention ['Drug: Nivolumab'], so no field in the record assigns a cohort to a specific arm. Arm TYPE is nevertheless uniform (both EXPERIMENTAL).
NCT02593786	3	Best Overall Response (BOR)	OG003	Cohort D: Nivolumab 480 mg Q4W	12	NONE			UNKNOWN		2				armGroups labels/descriptions/interventionNames	UNRESOLVED	UNKNOWN			4 dose cohorts A-D vs 2 arms ('Nivolumab monotherapy','Cohort Expansion'); both arms carry identical description 'Nivolumab specified dose on specified days' and intervention ['Drug: Nivolumab'], so no field in the record assigns a cohort to a specific arm. Arm TYPE is nevertheless uniform (both EXPERIMENTAL).
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG000	Phase I Dose Escalation: MBG453 80mg Q2W ROW	11	NONE			UNKNOWN		10	armGroups[0]	Phase I Dose escalation: MBG453 Q2W ROW	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG001	Phase I Dose Escalation: MBG453 240mg Q2W ROW	9	NONE			UNKNOWN		10	armGroups[0]	Phase I Dose escalation: MBG453 Q2W ROW	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG002	Phase I Dose Escalation: MBG453 800mg Q2W ROW	15	NONE			UNKNOWN		10	armGroups[0]	Phase I Dose escalation: MBG453 Q2W ROW	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG003	Phase I Dose Escalation: MBG453 1200mg Q2W ROW	5	NONE			UNKNOWN		10	armGroups[0]	Phase I Dose escalation: MBG453 Q2W ROW	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG004	Phase I Dose Escalation: MBG453 80mg Q2W Japan	2	NONE			UNKNOWN		10	armGroups[1]	Phase I Dose escalation: MBG453 Q2W Japan	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG005	Phase I Dose Escalation: MBG453 240mg Q2W Japan	4	NONE			UNKNOWN		10	armGroups[1]	Phase I Dose escalation: MBG453 Q2W Japan	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG006	Phase I Dose Escalation: MBG453 800mg Q2W Japan	6	NONE			UNKNOWN		10	armGroups[1]	Phase I Dose escalation: MBG453 Q2W Japan	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
NCT02608268	7	Best Overall Response (BOR) Per RECIST v1.1	OG007	Phase I Dose Escalation: MBG453 1200mg Q2W Japan	2	NONE			UNKNOWN		10	armGroups[1]	Phase I Dose escalation: MBG453 Q2W Japan	EXPERIMENTAL	armGroups[].label after dose-token removal (group title = arm label with dose inserted); corroborated by group description = arm description with dose inserted	JOIN_RECOVERABLE	NOT_CONTROL	RESOLVES_JOB3_UNKNOWN		
