nct	group_title	om_title	job3_arm_match_quality	job3_registry_arm_label	job3_registry_arm_type	job3_control_status	verdict	join_level	recovered_arm_index	recovered_arm_label	recovered_arm_type	evidence_field	note	implied_control_status	contradicts_job3	source_pointer
NCT02608268	Phase II: MBG453 + PDR001 Melanoma	Best Overall Response (BOR) Per RECIST v1.1	AMBIGUOUS_MULTI			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	8	Phase II: MBG453 + PDR001	EXPERIMENTAL	armGroups[8].interventionNames includes 'Drug: PDR001' and armGroups[8].description names NSCLC and melanoma; armGroups[9] 'Phase II: MBG453' has no PDR001 and its description states it 'was not opened for enrollment'	AMBIGUOUS_MULTI arose because normalised 'phase ii mbg453' (armGroups[9]) is a strict prefix of normalised 'phase ii mbg453 pdr001' (armGroups[8]), so unanchored substring containment hit both	NOT_CONTROL		ctg_results_bor_2014_2017.txt | NCT02608268 | armGroups[8] | outcomeMeasures[7] group OG029
NCT02608268	Phase II: MBG453 + PDR001 NSCLC	Best Overall Response (BOR) Per RECIST v1.1	AMBIGUOUS_MULTI			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	8	Phase II: MBG453 + PDR001	EXPERIMENTAL	armGroups[8].interventionNames includes 'Drug: PDR001' and armGroups[8].description names NSCLC and melanoma; armGroups[9] 'Phase II: MBG453' has no PDR001 and its description states it 'was not opened for enrollment'	AMBIGUOUS_MULTI arose because normalised 'phase ii mbg453' (armGroups[9]) is a strict prefix of normalised 'phase ii mbg453 pdr001' (armGroups[8]), so unanchored substring containment hit both	NOT_CONTROL		ctg_results_bor_2014_2017.txt | NCT02608268 | armGroups[8] | outcomeMeasures[7] group OG028
NCT03409614	Part 2: Placebo + Chemotherapy	Part 2: BOR Per IRC	AMBIGUOUS_MULTI			CONTROL_PLACEBO_BY_GROUP_TEXT	JOIN_RECOVERABLE	ARM_EXACT	3	Placebo+Chemo	EXPERIMENTAL	armGroups[3].label 'Placebo+Chemo' with description 'Part 2: Placebo plus chemo'; the 'Part 2' token in both the group title and the arm description excludes armGroups[0] 'Chemo' (description 'Part 1: Chemotherapy')	AMBIGUOUS_MULTI arose because normalised 'chemo' (armGroups[0]) is a substring of 'chemotherapy' inside the normalised group title, so containment hit armGroups[0] as well as armGroups[3]	NOT_CONTROL (by recovered armGroupType=EXPERIMENTAL)	YES - Job 3 assigned CONTROL_PLACEBO_BY_GROUP_TEXT from group text; recovered armGroups[3].type is EXPERIMENTAL, not PLACEBO_COMPARATOR	ctg_results_bor_2018_2021.txt | NCT03409614 | armGroups[3] | outcomeMeasures[7] group OG001
NCT03711188	Cohort A	Best Overall Response (BOR) Using RECIST 1.1	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	JOIN_RECOVERABLE	ARM_EXACT	0	IMM-101 (and nivolumab or ipilimumab)	EXPERIMENTAL	armGroups[0].description (names 'cohort A' and 'cohort B' verbatim); sole registered arm	single registered arm whose description enumerates exactly these two results cohorts	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03711188 | armGroups[0] | outcomeMeasures[2] group OG000
NCT03711188	Cohort B	Best Overall Response (BOR) Using RECIST 1.1	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	JOIN_RECOVERABLE	ARM_EXACT	0	IMM-101 (and nivolumab or ipilimumab)	EXPERIMENTAL	armGroups[0].description (names 'cohort A' and 'cohort B' verbatim); sole registered arm	single registered arm whose description enumerates exactly these two results cohorts	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03711188 | armGroups[0] | outcomeMeasures[2] group OG001
NCT03724890	Part A: M3814 100 mg BID + Avelumab 800 mg Q2W	Part A: Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1)	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	0	Part A: M3814 + Avelumab	EXPERIMENTAL	armGroups[0].label 'Part' token shared with group title prefix	results groups are dose levels nested inside one registered Part arm	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03724890 | armGroups[0] | outcomeMeasures[54] group OG000
NCT03724890	Part A: M3814 200 mg BID + Avelumab 800 mg Q2W	Part A: Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1)	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	0	Part A: M3814 + Avelumab	EXPERIMENTAL	armGroups[0].label 'Part' token shared with group title prefix	results groups are dose levels nested inside one registered Part arm	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03724890 | armGroups[0] | outcomeMeasures[54] group OG001
NCT03724890	Part A: M3814 250 mg BID + Avelumab 800 mg Q2W	Part A: Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1)	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	0	Part A: M3814 + Avelumab	EXPERIMENTAL	armGroups[0].label 'Part' token shared with group title prefix	results groups are dose levels nested inside one registered Part arm	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03724890 | armGroups[0] | outcomeMeasures[54] group OG002
NCT03724890	Part A: M3814 300 mg BID + Avelumab 800 mg Q2W	Part A: Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1)	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	0	Part A: M3814 + Avelumab	EXPERIMENTAL	armGroups[0].label 'Part' token shared with group title prefix	results groups are dose levels nested inside one registered Part arm	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03724890 | armGroups[0] | outcomeMeasures[54] group OG003
NCT03724890	Part A: M3814 400 mg BID + Avelumab 800 mg Q2W	Part A: Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1)	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	0	Part A: M3814 + Avelumab	EXPERIMENTAL	armGroups[0].label 'Part' token shared with group title prefix	results groups are dose levels nested inside one registered Part arm	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03724890 | armGroups[0] | outcomeMeasures[54] group OG004
NCT03724890	Part B: M3814 100 mg BID + Avelumab 800 mg Q2W + RT	Part B: Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1)	NONE			UNKNOWN	JOIN_RECOVERABLE	ARM_EXACT	1	Part B: M3814 + Avelumab + Radiotherapy (RT)	EXPERIMENTAL	armGroups[1].label 'Part' token shared with group title prefix; group description names radiotherapy, present only in armGroups[1].interventionNames	results groups are dose levels nested inside one registered Part arm	NOT_CONTROL		ctg_results_bor_2018_2021.txt | NCT03724890 | armGroups[1] | outcomeMeasures[55] group OG000
