nct	om_title	group_title	n_arms_registered	v1_arm_link_state	v1_arm_link_evidence_code	v1_confirmed_registry_arm_label	v1_control_status	v2_arm_link_state	v2_arm_link_relation	v2_bound_arm_label	v2_bound_arm_registered_type_verbatim	v2_n_candidate_arms	v2_comparator_role	v2_registry_type_statement	v2_registry_type_statement_assumption	v2_leaf_claim_state	v2_leaf_claim_verification	v2_arm_link_source_locator	change_arm_link	change_comparator_class
NCT00066222	Tumor Response	Radiation Therapy + Chemotherapy	1	CONFIRMED	LABEL_BYTE_EXACT	Radiation Therapy + Chemotherapy	NOT_CONTROL_CONFIRMED	LABEL_MATCH	LABEL_IDENTITY_ONLY:LABEL_BYTE_EXACT	Radiation Therapy + Chemotherapy	EXPERIMENTAL	1	NOT_ESTABLISHED_IN_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	ASSUMES_LABEL_CORRESPONDENCE_IS_ARM_IDENTITY	NO_LEAF		protocolSection.armsInterventionsModule.armGroups[0].label	CONFIRMED -> LABEL_MATCH	CHANGED_CLASS:NOT_CONTROL_ASSERTED->NOT_ESTABLISHED
NCT00183820	Tumor Response	Paclitaxel, Gemcitabine, and Oxaliplatin	1	CONFIRMED	LABEL_CASE_AND_WHITESPACE_ONLY	paclitaxel, gemcitabine, and oxaliplatin	NOT_CONTROL_CONFIRMED	LABEL_MATCH	LABEL_IDENTITY_ONLY:LABEL_CASE_WS_FOLD	paclitaxel, gemcitabine, and oxaliplatin	EXPERIMENTAL	1	NOT_ESTABLISHED_IN_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	ASSUMES_LABEL_CORRESPONDENCE_IS_ARM_IDENTITY	NO_LEAF		protocolSection.armsInterventionsModule.armGroups[0].label	CONFIRMED -> LABEL_MATCH	CHANGED_CLASS:NOT_CONTROL_ASSERTED->NOT_ESTABLISHED
NCT00298896	Best Overall Response	SNS-595	1	CONFIRMED	LABEL_BYTE_EXACT	SNS-595	NOT_CONTROL_CONFIRMED	SOURCE_CONFIRMED	TWO_INDEPENDENT_FIELD_IDENTITIES:LABEL_BYTE_EXACT+DESC_BYTE_EXACT	SNS-595	EXPERIMENTAL	1	NOT_ESTABLISHED_IN_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL		NO_LEAF		protocolSection.armsInterventionsModule.armGroups[0].label and protocolSection.armsInterventionsModule.armGroups[0].description	CONFIRMED -> SOURCE_CONFIRMED	CHANGED_CLASS:NOT_CONTROL_ASSERTED->NOT_ESTABLISHED
NCT00301067	Tumor Response	Temozolomide and Calcitriol (Cohort 1-3+Expansion)	4	CONFIRMED_TYPE_ONLY	LEAF_ARM_IDENTITY_NOT_BOUND_ARM_SET_TYPE_INVARIANT		NOT_CONTROL_BY_ARM_SET_TYPE_INVARIANT	UNRESOLVED	LEAF_CLAIM_LEAF_CLAIMS_MULTIPLE_ARMS			4	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	LEAF_CLAIMS_MULTIPLE_ARMS	NOT_VERIFIABLE_IN_THIS_CACHE	LEAF-OUT/LEAF-QD-group0.tsv:line 2	CONFIRMED_TYPE_ONLY -> UNRESOLVED	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN
NCT00389805	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	Arm A	0	UNKNOWN_IN_THIS_CACHE	LEAF_NO_ARM_GROUPS_IN_THIS_CACHE		UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	NO_ARM_GROUPS_REGISTERED_IN_THIS_CACHE			0	UNKNOWN_IN_THIS_CACHE	NO_ARMS_REGISTERED_IN_THIS_CACHE		LEAF_CLAIMS_NO_ARM	NOT_VERIFIABLE_NO_REGISTERED_ARMS	protocolSection.armsInterventionsModule.armGroups=[] (absent)	UNKNOWN_IN_THIS_CACHE -> UNKNOWN_IN_THIS_CACHE	UNCHANGED_CLASS:UNKNOWN
NCT00389805	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	Arm B	0	UNKNOWN_IN_THIS_CACHE	LEAF_NO_ARM_GROUPS_IN_THIS_CACHE		UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	NO_ARM_GROUPS_REGISTERED_IN_THIS_CACHE			0	UNKNOWN_IN_THIS_CACHE	NO_ARMS_REGISTERED_IN_THIS_CACHE		LEAF_CLAIMS_NO_ARM	NOT_VERIFIABLE_NO_REGISTERED_ARMS	protocolSection.armsInterventionsModule.armGroups=[] (absent)	UNKNOWN_IN_THIS_CACHE -> UNKNOWN_IN_THIS_CACHE	UNCHANGED_CLASS:UNKNOWN
NCT00600340	Best Overall Response (ITT Population)	Bevacizumab Plus Capecitabine	2	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	B Bev+Cap	CONTROL_ACTIVE_COMPARATOR_CONFIRMED	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS			1	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	LEAF_LABEL_RESOLVES_UNIQUELY	RETAINED_UNVERIFIED_WITH_LOCATOR	LEAF-OUT/LEAF-QD-group0.tsv:line 5; candidate protocolSection.armsInterventionsModule.armGroups[1].label	CONFIRMED -> PROPOSED	CHANGED_CLASS:COMPARATOR_SUPPORTED->UNKNOWN
NCT00600340	Best Overall Response (ITT Population)	Bevacizumab Plus Paclitaxel	2	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	A Bev+Pac	CONTROL_ACTIVE_COMPARATOR_CONFIRMED	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS			1	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	LEAF_LABEL_RESOLVES_UNIQUELY	RETAINED_UNVERIFIED_WITH_LOCATOR	LEAF-OUT/LEAF-QD-group0.tsv:line 6; candidate protocolSection.armsInterventionsModule.armGroups[0].label	CONFIRMED -> PROPOSED	CHANGED_CLASS:COMPARATOR_SUPPORTED->UNKNOWN
NCT00600340	Best Overall Response (PP Population)	Bevacizumab Plus Capecitabine	2	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	B Bev+Cap	CONTROL_ACTIVE_COMPARATOR_CONFIRMED	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS			1	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	LEAF_LABEL_RESOLVES_UNIQUELY	RETAINED_UNVERIFIED_WITH_LOCATOR	LEAF-OUT/LEAF-QD-group0.tsv:line 7; candidate protocolSection.armsInterventionsModule.armGroups[1].label	CONFIRMED -> PROPOSED	CHANGED_CLASS:COMPARATOR_SUPPORTED->UNKNOWN
NCT00600340	Best Overall Response (PP Population)	Bevacizumab Plus Paclitaxel	2	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	A Bev+Pac	CONTROL_ACTIVE_COMPARATOR_CONFIRMED	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS			1	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	LEAF_LABEL_RESOLVES_UNIQUELY	RETAINED_UNVERIFIED_WITH_LOCATOR	LEAF-OUT/LEAF-QD-group0.tsv:line 8; candidate protocolSection.armsInterventionsModule.armGroups[0].label	CONFIRMED -> PROPOSED	CHANGED_CLASS:COMPARATOR_SUPPORTED->UNKNOWN
