source_row,cas,source_name,cell_viability_percent,reported_sd_percent,mean_midrank,mean_plus_sd,mean_plus_sd_midrank,rank_denominator,role,active_moiety,chemical_family,reported_ic50_nM,ic50_source_name,catalogue_source_row,catalogue_id,catalogue_source_name,source_target,source_pathway,provider
4,1374356-45-2,(S)-crizotinib,10.518404211242393,9.058006165744617,13.0,19.57641037698701,13.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,2289.0,S-Crizotinib,4,S7505,(S)-crizotinib,MTH1,DNA Damage,Selleck  Chemicals
5,5451-09-2,5-Aminolevulinic acid HCl,137.1628574695412,24.006199738289773,208.0,161.16905720783097,207.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,5,S2553,5-Aminolevulinic acid HCl,Others,Others,Selleck  Chemicals
6,785804-17-3,Abarelix Acetate,84.91823711294319,19.06564201015602,141.0,103.9838791230992,150.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,6,P1005,Abarelix Acetate,Others,Endocrinology & Hormones,Selleck  Chemicals
7,1231929-97-7,Abemaciclib,80.49115139811718,24.209469846149933,139.0,104.70062124426711,151.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,7,S5716,Abemaciclib,CDK,Cell Cycle,Selleck  Chemicals
8,1231930-82-7,abemaciclib (LY2835219),61.159233037068674,7.0674362623854465,83.0,68.22666929945412,75.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,8,S7158,abemaciclib (LY2835219),CDK,Cell Cycle,Selleck  Chemicals
9,154229-18-2,Abiraterone Acetate,74.10847001130688,9.61467610178742,123.0,83.7231461130943,119.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,9,S2246,Abiraterone Acetate,P450 (e.g. CYP17),Metabolism,Selleck  Chemicals
10,1420477-60-6,Acalabrutinib (ACP-196),66.82048689065907,11.12162450592436,102.0,77.94211139658343,107.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,10,S8116,Acalabrutinib (ACP-196),BTK,Angiogenesis,Selleck  Chemicals
11,2922-28-3,Adenine HCl,66.97368922541384,8.17145833598004,103.0,75.14514756139387,97.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,11,S1983,Adenine HCl,DNA/RNA Synthesis,DNA Damage,Selleck  Chemicals
12,439081-18-2,Afatinib (BIBW2992),123.7063763291959,29.453838628943142,202.0,153.16021495813905,205.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,12,S1011,Afatinib (BIBW2992),"EGFR,HER2",Protein Tyrosine Kinase,Selleck  Chemicals
13,850140-73-7,Afatinib (BIBW2992) Dimaleate,66.47350681576158,34.40581374246546,101.0,100.87932055822705,145.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,13,S7810,Afatinib (BIBW2992) Dimaleate,"EGFR,HER2",Protein Tyrosine Kinase,Selleck  Chemicals
14,1217486-61-7,Alpelisib (BYL719),26.096070534727417,0.9960235285149803,25.0,27.0920940632424,21.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,14,S2814,Alpelisib (BYL719),PI3K,PI3K/Akt/mTOR,Selleck  Chemicals
15,58579-51-4,Anagrelide HCl,109.96531703784632,34.25101317444386,187.0,144.2163302122902,198.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,15,S3172,Anagrelide HCl,PDE,Metabolism,Selleck  Chemicals
16,1327-53-3,Arsenic (III) oxide,75.69587196435239,33.967523121542314,127.0,109.6633950858947,161.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,16,Sigma 202673,Arsenic (III) oxide,Others,Others,Sigma-Aldrich
17,71963-77-4,Artemether,69.27064144423409,8.151131325194116,114.0,77.4217727694282,106.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,17,S2264,Artemether,Anti-infection,Microbiology,Selleck  Chemicals
18,1492952-76-7,Asciminib (ABL001),68.88410523083878,20.088320125643314,110.0,88.97242535648209,129.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,18,S8555,Asciminib (ABL001),Bcr-Abl,Angiogenesis,Selleck  Chemicals
19,1703793-34-3,Avapritinib (BLU-285),56.06410456883733,11.779060437309028,68.0,67.84316500614636,72.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,19,S8553,Avapritinib (BLU-285),PDGFR,Protein Tyrosine Kinase,Selleck  Chemicals
20,319460-85-0,Axitinib,49.167227776860216,26.95361630226263,48.0,76.12084407912285,101.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,20,S1005,Axitinib,"c-Kit,PDGFR,VEGFR",Protein Tyrosine Kinase,Selleck  Chemicals
21,320-67-2,Azacitidine,122.05988845552827,26.912962280690618,201.0,148.97285073621887,203.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,21,S1782,Azacitidine,DNA Methyltransferase,DNA Damage,Selleck  Chemicals
22,134-58-7,Azaguanine-8,92.93128199916148,33.641202850863266,162.0,126.57248485002475,181.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,22,S4194,Azaguanine-8,Others,Others,Selleck  Chemicals
23,1143532-39-1,AZD5363,57.57985963286315,9.843276861565258,73.0,67.4231364944284,70.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,23,S8019,AZD5363,Akt,PI3K/Akt/mTOR,Selleck  Chemicals
24,414864-00-9,Belinostat (PXD101),20.628104633288007,9.309770939997204,19.0,29.93787557328521,22.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,812.0,Belinostat,24,S1085,Belinostat (PXD101),HDAC,Epigenetics,Selleck  Chemicals
25,16506-27-7,Bendamustine,98.63308112599603,29.055015745362283,170.0,127.68809687135831,183.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,25,S5939,Bendamustine,Others,Others,Selleck  Chemicals
26,3543-75-7,Bendamustine HCl,97.22028127501173,26.547076086542276,169.0,123.767357361554,179.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,26,S1212,Bendamustine HCl,DNA/RNA Synthesis,DNA Damage,Selleck  Chemicals
27,153559-49-0,Bexarotene,104.33473505011875,2.154663143318146,179.5,106.4893981934369,156.0,221,not_identified_as_primary_proteasome_direct_in_bounded_review,,,,,27,S2098,Bexarotene,Retinoid Receptor,Metabolism,Selleck  Chemicals
