source_row,cas,source_name,ic50_nM
4,414864-00-9,Belinostat,812.0
5,872511-34-7,BGJ398,63.3
6,179324-69-7,Bortezomib,135.0
7,1197953-54-0,Brigatinib,1.73
8,1380575-43-8,Ceritinib,85.1
9,670220-88-9,Crenolanib,3352.0
10,877399-52-5,Crizotinib,208.0
11,25316-40-9,Doxorubicin (Adriamycin),36.5
12,441045-17-6,Eribulin,30.6
13,849217-64-7,Foretinib ,1493.0
14,901119-35-5,Fostamatinib,1615.0
15,122111-03-9,Gemcitabine,71.1
16,1254053-43-4,Gilteritinib,15.1
17,3778-73-2,Ifosfamide,653.0
18,1201902-80-8,Ixazomib,1982.0
19,1239908-20-3,Ixazomib citrate,3511.0
20,70476-82-3,Mitoxantrone,12.9
21,1847461-43-1,Mobocertinib,3010.0
22,404950-80-7,Panobinostat,3.37
23,635702-64-6,Pazopanib ,31.6
24,943319-70-8,Ponatinib,152.0
25,128517-07-7,Romidepsin,8.04
26,1374356-45-2,S-Crizotinib,2289.0
27,114899-77-3,Trabectedin,177.0
