source_row,cas,source_name,cell_viability_percent,reported_sd_percent
4,1374356-45-2,(S)-crizotinib,10.518404211242393,9.058006165744617
5,5451-09-2,5-Aminolevulinic acid HCl,137.1628574695412,24.006199738289773
6,785804-17-3,Abarelix Acetate,84.91823711294319,19.06564201015602
7,1231929-97-7,Abemaciclib,80.49115139811718,24.209469846149933
8,1231930-82-7,abemaciclib (LY2835219),61.159233037068674,7.0674362623854465
9,154229-18-2,Abiraterone Acetate,74.10847001130688,9.61467610178742
10,1420477-60-6,Acalabrutinib (ACP-196),66.82048689065907,11.12162450592436
11,2922-28-3,Adenine HCl,66.97368922541384,8.17145833598004
12,439081-18-2,Afatinib (BIBW2992),123.7063763291959,29.453838628943142
13,850140-73-7,Afatinib (BIBW2992) Dimaleate,66.47350681576158,34.40581374246546
14,1217486-61-7,Alpelisib (BYL719),26.096070534727417,0.9960235285149803
15,58579-51-4,Anagrelide HCl,109.96531703784632,34.25101317444386
16,1327-53-3,Arsenic (III) oxide,75.69587196435239,33.967523121542314
17,71963-77-4,Artemether,69.27064144423409,8.151131325194116
18,1492952-76-7,Asciminib (ABL001),68.88410523083878,20.088320125643314
19,1703793-34-3,Avapritinib (BLU-285),56.06410456883733,11.779060437309028
20,319460-85-0,Axitinib,49.167227776860216,26.95361630226263
21,320-67-2,Azacitidine,122.05988845552827,26.912962280690618
22,134-58-7,Azaguanine-8,92.93128199916148,33.641202850863266
23,1143532-39-1,AZD5363,57.57985963286315,9.843276861565258
24,414864-00-9,Belinostat (PXD101),20.628104633288007,9.309770939997204
25,16506-27-7,Bendamustine,98.63308112599603,29.055015745362283
26,3543-75-7,Bendamustine HCl,97.22028127501173,26.547076086542276
27,153559-49-0,Bexarotene,104.33473505011875,2.154663143318146
28,872511-34-7,BGJ398 (NVP-BGJ398|Infigratinib),8.899419409754415,4.695539491570635
29,606143-89-9,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",68.55538726514645,2.593219507128495
30,9041-93-4,Bleomycin sulfate,63.76202152122265,12.27751451475613
31,179324-69-7,Bortezomib (PS-341),13.615285912111077,11.931955331393794
32,380843-75-4,Bosutinib,62.21843537096624,10.939003413873039
33,1197953-54-0,Brigatinib (AP26113),10.098375699524397,5.716040181205781
34,55-98-1,Busulfan,112.99404164496332,17.27795916811706
35,183133-96-2,Cabazitaxel,61.302453216114216,2.744146456112702
36,849217-68-1,"Cabozantinib (XL184, BMS-907351)",50.59011853188162,8.008842249691924
37,1140909-48-3,Cabozantinib malate (XL184),70.79516725318558,8.82192268113273
38,154361-50-9,Capecitabine,101.57026158322003,22.684944037198427
39,1029712-80-8,Capmatinib (INCB28060),79.60396333425028,8.108376487077848
40,41575-94-4,Carboplatin,104.8969845833557,13.057408081668182
41,868540-17-4,Carfilzomib (PR-171),23.575521197260922,1.4432177658074252
42,154-93-8,Carmustine,87.34135403300596,8.049496271263948
43,1032900-25-6,Ceritinib (LDK378),76.061114148455,1.2600855351539835
44,1380575-43-8,Ceritinib dihydrochloride,5.405013633805911,7.158746808411072
45,305-03-3,Chloroambucil,67.5631725382084,11.728685223533587
46,15663-27-1,Cisplatin (NSC 119875),90.76211205858488,25.165186484669537
47,4291-63-8,Cladribine,85.00374779261364,15.916049445453703
48,123318-82-1,Clofarabine,76.12084407912286,0.16261608628815338
49,934660-93-2,"Cobimetinib (GDC-0973, RG7420)",49.50800736419556,10.829430758642253
50,18080-67-6,Conoidin A,92.64310930671328,4.218547226385094
51,670220-88-9,Crenolanib (CP-868596),3.73635867010531,0.7114453775107037
52,877399-52-5,Crizotinib (PF-02341066),-1.6909532097620548,1.544852819737526
53,1415560-69-8,Crizotinib hydrochloride,51.535101485965015,4.821196830154392
54,50-18-0,Cyclophosphamide,61.03139827263276,9.989373735206298
55,6055-19-2,Cyclophosphamide Monohydrate,133.62595759277372,16.810437920038673
56,147-94-4,Cytarabine,110.74085952899739,10.025897953616528
57,1195765-45-7,Dabrafenib (GSK2118436),166.1695018611919,71.795002096223
58,1195768-06-9,Dabrafenib Mesylate,186.3338965609238,86.6743739915897
59,4342-03-4,Dacarbazine,88.23574250759083,34.02741605579763
60,1110813-31-4,"Dacomitinib (PF299804, PF299)",74.86056941038962,5.366330847509303
61,302962-49-8,Dasatinib,27.13274808481444,6.34202736523827
62,854001-07-3,Dasatinib hydrochloride,39.87778384764904,3.5978809091255535
63,23541-50-6,Daunorubicin HCl,58.27372860899722,7.277069861395208
64,2353-33-5,Decitabine,95.65510144448817,6.281046332880209
65,114977-28-5,Docetaxel,62.96926810056787,24.046853759861758
66,23214-92-8,Doxorubicin,71.22165520909546,9.660655769513935
67,25316-40-9,Doxorubicin (Adriamycin) HCl,73.01081142886179,2.1343361325321197
68,1201438-56-3,"Duvelisib (IPI-145, INK1197)",49.124503070887826,3.4332765305644912
69,1446502-11-9,Enasidenib (AG-221),96.05812372807266,14.536638927283704
70,1650550-25-6,Enasidenib Mesylate,94.46932022722632,16.05239399130953
71,1269440-17-6,Encorafenib (LGX818),65.10384862537683,6.318689784975081
72,1229208-44-9,Entospletinib (GS-9973),56.776326827837416,0.9313675694616421
73,1108743-60-7,Entrectinib (RXDX-101),27.283020461551995,3.7985187146671002
74,915087-33-1,Enzalutamide,96.97122918832918,46.312708944210435
75,51-42-3,Epinephrine bitartrate,67.42088346270627,3.658861941483625
76,56390-09-1,Epirubicin HCl,69.14867937951797,13.924002388423718
77,1346242-81-6,Erdafitinib (JNJ-42756493),45.873847632374634,4.346381990821005
78,441045-17-6,Eribulin mesylate,60.793990852966076,5.642991744385256
79,183321-74-6,Erlotinib,49.58105580101608,7.651823756949572
80,183319-69-9,Erlotinib HCl (OSI-744),68.02578609819767,11.742536218898792
81,52205-73-9,Estramustine phosphate sodium,132.96584643164095,15.04797798502743
82,33419-42-0,Etoposide,220.50360169222358,9.086173821350968
83,159351-69-6,Everolimus (RAD001),155.72141831717755,17.23730514654499
84,107868-30-4,Exemestane,146.49295542032442,38.94655266601446
85,104227-87-4,Famciclovir,64.96131515759782,15.306239121873173
86,21679-14-1,Fludarabine,57.72489931777467,3.3946108012653546
87,75607-67-9,Fludarabine Phosphate,64.04659967222693,11.627050169603468
88,51-21-8,"Fluorouracil (5-Fluoracil, 5-FU)",113.15665773125147,56.14320379098751
89,13311-84-7,Flutamide,121.65334823980788,9.756965177289636
90,849217-64-7,Foretinib (GSK1363089),2.150851828795748,1.9310660246719102
91,901119-35-5,Fostamatinib (R788),17.9855932311054,4.065402157204012
92,129453-61-8,Fulvestrant,152.123537408052,27.624407658201406
93,184475-35-2,Gefitinib (ZD1839),41.46329068895861,4.980117642574902
94,184475-55-6,Gefitinib hydrochloride,98.92527487327811,0.21914531046156505
95,95058-81-4,Gemcitabine,54.39126954886737,13.761386302135625
96,122111-03-9,Gemcitabine HCl,63.8802873086331,7.761396412180368
97,1254053-43-4,Gilteritinib (ASP2215),7.9982331409344125,0.8400570234359938
98,145781-92-6,Goserelin Acetate,91.20040267950802,3.7072081686414435
99,26833-87-4,Homoharringtonine,46.202565598066975,0.803532805025732
100,127-07-1,Hydroxyurea,46.82962153646791,0.5081752696505042
101,936563-96-1,Ibrutinib (PCI-32765),104.33473505011875,35.85684702653945
102,870281-82-6,"Idelalisib (CAL-101, GS-1101)",112.85175256946115,8.435709476198362
103,3778-73-2,Ifosfamide,143.42357679163538,24.69731810501448
104,152459-95-5,Imatinib (STI571),53.31393797720831,6.545297473098515
105,220127-57-1,Imatinib Mesylate (STI571),73.80356484951655,35.12507463824273
106,99011-02-6,Imiquimod,49.38017259975964,14.883619002181176
107,97682-44-5,Irinotecan,87.73060193053324,19.102166228566286
