resource,cohort,diagnosis,n_type,n_LMS,A_type_above_LMS
Boudin2022,Baird,dermatofibrosarcoma,5,16,0.5125
Boudin2022,Baird,fibrosarcoma,7,16,0.48214285714285715
Boudin2022,Baird,liposarcoma,33,16,0.5833333333333333
Boudin2022,Baird,malignant fibrous histiocytoma,38,16,0.5657894736842105
Boudin2022,Baird,malignant hemangiopericytoma,6,16,0.71875
Boudin2022,Baird,malignant peripheral nerve sheath tumor,6,16,0.6354166666666667
Boudin2022,Baird,rhabdomyosarcoma,6,16,0.3125
Boudin2022,Baird,"sarcoma, nos",10,16,0.42500000000000004
Boudin2022,Baird,synovial sarcoma,16,16,0.32421875
Boudin2022,Barretina,dedifferentiated liposarcoma,27,25,0.17333333333333334
Boudin2022,Barretina,myxofibrosarcoma,31,25,0.1845161290322581
Boudin2022,Barretina,myxoid/round-cell liposarcoma,20,25,0.472
Boudin2022,Barretina,pleomorphic liposarcoma,20,25,0.31000000000000005
Boudin2022,Chibon,dedifferentiated liposarcoma,62,85,0.3426944971537002
Boudin2022,Chibon,other,27,85,0.49912854030501086
Boudin2022,Chibon,undifferentiated sarcoma,136,85,0.35575259515570934
Boudin2022,Detwiller,fibrosarcoma,7,6,0.2619047619047619
Boudin2022,Detwiller,malignant fibrous histiocytoma,9,6,0.14814814814814814
Boudin2022,Nakayama,dedifferentiated liposarcoma,15,6,0.5166666666666667
Boudin2022,Nakayama,malignant fibrous histiocytoma,20,6,0.29166666666666663
Boudin2022,Nakayama,myxofibrosarcoma,15,6,0.19999999999999996
Boudin2022,Nakayama,myxoid liposarcoma,19,6,0.6929824561403508
Boudin2022,Nakayama,synovial sarcoma,14,6,0.1428571428571429
Boudin2022,Nielsen,malignant fibrous histiocytoma,8,10,0.3375
Boudin2022,Nielsen,synovial sarcoma,7,10,0.5142857142857142
Boudin2022,Renner,dedifferentiated liposarcoma,12,10,0.21666666666666667
Boudin2022,Renner,malignant peripheral nerve sheath tumor,10,10,0.49
Boudin2022,Renner,myxofibrosarcoma,7,10,0.19999999999999996
Boudin2022,Renner,myxoid liposarcoma,9,10,0.6111111111111112
Boudin2022,Renner,pleomorphic liposarcoma,8,10,0.17500000000000004
Boudin2022,Renner,synovial sarcoma,10,10,0.030000000000000027
Boudin2022,Renner,undifferentiated pleomorphic sarcoma,13,10,0.07692307692307687
GSE213065,GSE213065,liposarcoma,8,16,0.3046875
GSE213065,GSE213065,undifferentiated pleomorphic sarcoma,23,16,0.32065217391304346
GSE234092,GSE234092,dedifferentiated liposarcoma,16,9,0.2222222222222222
GSE234092,GSE234092,gastrointestinal stromal tumor,19,9,0.8362573099415205
Treehouse25.01,PolyA|Sequence Read Archive|SRP057793,gastrointestinal stromal tumor,12,40,0.5020833333333333
Treehouse25.01,PolyA|Sequence Read Archive|SRP057793,liposarcoma,26,40,0.3009615384615385
Treehouse25.01,PolyA|Sequence Read Archive|SRP057793,myxofibrosarcoma,18,40,0.24583333333333335
Treehouse25.01,PolyA|Sequence Read Archive|SRP057793,pleomorphic rhabdomyosarcoma,5,40,0.21499999999999997
Treehouse25.01,PolyA|Sequence Read Archive|SRP057793,undifferentiated pleomorphic sarcoma,44,40,0.24602272727272723
Treehouse25.01,PolyA|Sequence Read Archive|SRP113755,angiosarcoma,19,11,0.23923444976076555
Treehouse25.01,PolyA|Sequence Read Archive|SRP113755,myxofibrosarcoma,6,11,0.18181818181818177
Treehouse25.01,PolyA|Sequence Read Archive|SRP113755,undifferentiated pleomorphic sarcoma,18,11,0.41414141414141414
Treehouse25.01,PolyA|TCGA|phs000178,fibromyxosarcoma,10,98,0.21224489795918366
Treehouse25.01,PolyA|TCGA|phs000178,liposarcoma,60,98,0.23928571428571432
Treehouse25.01,PolyA|TCGA|phs000178,malignant peripheral nerve sheath tumor,8,98,0.4872448979591837
Treehouse25.01,PolyA|TCGA|phs000178,myxofibrosarcoma,17,98,0.21368547418967587
Treehouse25.01,PolyA|TCGA|phs000178,synovial sarcoma,10,98,0.15714285714285714
Treehouse25.01,PolyA|TCGA|phs000178,undifferentiated pleomorphic sarcoma,43,98,0.2224727100142383
Treehouse25.01,PolyA|TCGA|phs000178,undifferentiated sarcoma nos,7,98,0.16326530612244894
