^SAMPLE = GSM281777
!Sample_title = 293-tet-On-EWS/NOR1 without doxycycline
!Sample_geo_accession = GSM281777
!Sample_status = Public on Dec 10 2008
!Sample_submission_date = Apr 16 2008
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = 293-tet-On-EWS/NOR1 cells, doxycycline untreated
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 293-tet-On-EWS/NOR1 cells were cultured without doxycycline for 24 hours.
!Sample_treatment_protocol_ch1 = without doxycycline
!Sample_growth_protocol_ch1 = DMEM supplemented with 10% FCS
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen RNeasy mini column 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = in vitro transcription, Affymetrix protocol
!Sample_hyb_protocol = Labeled cRNA was hybridized with the array in the hybridization buffer for 16 hours.
!Sample_scan_protocol = GCOS (GeneChip operating software)
!Sample_description = To identify genes affected by EWS/NOR1 overexpression, we compared expression profiles between EWS/NOR1-induced 293-tet-On cells and its control cells.
!Sample_data_processing = GCOS (GeneChip operating software)
!Sample_platform_id = GPL570
!Sample_contact_name = Naganari,,Ohkura
!Sample_contact_email = nohkura@ncc.go.jp
!Sample_contact_phone = +81-3-3542-2511
!Sample_contact_fax = +81-3-3542-8170
!Sample_contact_department = Tumor Endocrinology Project
!Sample_contact_institute = National Cancer Center Research Institute
!Sample_contact_address = 5-1-1, Tsukiji, Chuo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 104-0045
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281777/suppl/GSM281777.CEL.gz
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE11185
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = EWS/NOR1 without doxycycline
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	206	P	0.000581
AFFX-BioB-M_at	266.6	P	0.000044
AFFX-BioB-3_at	200.3	P	0.000052
AFFX-BioC-5_at	676.9	P	0.000052
AFFX-BioC-3_at	945.7	P	0.000044
AFFX-BioDn-5_at	1863.5	P	0.000044
AFFX-BioDn-3_at	3212.2	P	0.00007
AFFX-CreX-5_at	9751.6	P	0.000052
AFFX-CreX-3_at	10900.7	P	0.000044
AFFX-DapX-5_at	484.6	P	0.000044
AFFX-DapX-M_at	937.2	P	0.000297
AFFX-DapX-3_at	1013.7	P	0.000044
AFFX-LysX-5_at	64.9	P	0.00011
AFFX-LysX-M_at	63.8	P	0.003595
AFFX-LysX-3_at	135.7	P	0.000052
AFFX-PheX-5_at	83	P	0.000052
AFFX-PheX-M_at	103.5	P	0.000052
AFFX-PheX-3_at	98.4	P	0.00006
AFFX-ThrX-5_at	104.8	P	0.000081
AFFX-ThrX-M_at	133.3	P	0.000044
AFFX-ThrX-3_at	225.6	P	0.000044
AFFX-TrpnX-5_at	6	A	0.089459
AFFX-TrpnX-M_at	0.3	A	0.979987
AFFX-TrpnX-3_at	1	A	0.617401
AFFX-r2-Ec-bioB-5_at	396.1	P	0.000244
AFFX-r2-Ec-bioB-M_at	384	P	0.000244
AFFX-r2-Ec-bioB-3_at	290.8	P	0.000244
AFFX-r2-Ec-bioC-5_at	850.7	P	0.000244
AFFX-r2-Ec-bioC-3_at	989.8	P	0.000244
AFFX-r2-Ec-bioD-5_at	4125.9	P	0.000244
AFFX-r2-Ec-bioD-3_at	4442.8	P	0.000244
AFFX-r2-P1-cre-5_at	11034	P	0.000244
AFFX-r2-P1-cre-3_at	13342.1	P	0.000244
AFFX-r2-Bs-dap-5_at	591.6	P	0.000244
AFFX-r2-Bs-dap-M_at	1030.4	P	0.000244
AFFX-r2-Bs-dap-3_at	1385.6	P	0.000244
AFFX-r2-Bs-lys-5_at	91.7	P	0.000244
AFFX-r2-Bs-lys-M_at	64.3	P	0.000244
AFFX-r2-Bs-lys-3_at	95.4	P	0.000244
AFFX-r2-Bs-phe-5_at	130.6	P	0.000244
AFFX-r2-Bs-phe-M_at	127.4	P	0.000244
AFFX-r2-Bs-phe-3_at	167.4	P	0.000244
AFFX-r2-Bs-thr-3_s_at	327.1	P	0.001221
AFFX-r2-Bs-thr-M_s_at	178.4	P	0.000244
AFFX-r2-Bs-thr-5_s_at	122.2	P	0.000244
AFFX-HUMISGF3A/M97935_5_at	51.7	P	0.002023
AFFX-HUMISGF3A/M97935_MA_at	136.5	P	0.001593
AFFX-HUMISGF3A/M97935_MB_at	124.7	P	0.000044
AFFX-HUMISGF3A/M97935_3_at	340.8	P	0.000081
AFFX-HUMRGE/M10098_5_at	1538.1	P	0.000044
AFFX-HUMRGE/M10098_M_at	788.1	P	0.000052
AFFX-HUMRGE/M10098_3_at	628.3	P	0.000052
AFFX-HUMGAPDH/M33197_5_at	11202.8	P	0.000044
AFFX-HUMGAPDH/M33197_M_at	10974.5	P	0.000044
AFFX-HUMGAPDH/M33197_3_at	12212	P	0.000044
AFFX-HSAC07/X00351_5_at	7550.7	P	0.000044
AFFX-HSAC07/X00351_M_at	8200.9	P	0.000044
AFFX-HSAC07/X00351_3_at	11119.5	P	0.000044
AFFX-M27830_5_at	1204.9	P	0.000044
AFFX-M27830_M_at	1776	P	0.002023
AFFX-M27830_3_at	16.1	A	0.425962
AFFX-hum_alu_at	15411.3	P	0
1007_s_at	311.8	P	0.000805
1053_at	961.5	P	0.000219
117_at	23.4	P	0.004863
121_at	123.4	P	0.011447
1255_g_at	6	A	0.302547
1294_at	18.6	A	0.175989
1316_at	24.1	P	0.014937
1320_at	29.1	A	0.127645
1405_i_at	0.3	A	0.976005
1431_at	1.3	A	0.697453
1438_at	2.5	A	0.810313
1487_at	192	P	0.024711
1494_f_at	17.7	A	0.234557
1598_g_at	132.6	M	0.060419
160020_at	45.7	A	0.098054
1729_at	93.5	P	0.001141
1773_at	134.1	P	0.021866
177_at	24.8	P	0.007543
179_at	110.2	P	0.031336
1861_at	88.8	P	0.001354
200000_s_at	2315.5	P	0.000244
200001_at	2405.4	P	0.000244
200002_at	9966.4	P	0.000244
200003_s_at	13882.7	P	0.000244
200004_at	6963.2	P	0.000244
200005_at	5103.4	P	0.000244
200006_at	7376.4	P	0.000244
200007_at	5003.7	P	0.000244
200008_s_at	1816.4	P	0.000244
200009_at	4112.2	P	0.000244
200010_at	10421.6	P	0.000244
200011_s_at	629.7	P	0.000244
200012_x_at	8439.3	P	0.000244
200013_at	13098.7	P	0.000244
200014_s_at	4379.8	P	0.000244
200015_s_at	4656.3	P	0.000244
200016_x_at	12870.3	P	0.000244
200017_at	11127.6	P	0.000244
200018_at	12275.3	P	0.000244
200019_s_at	7083.5	P	0.000244
200020_at	2712.9	P	0.000244
200021_at	5620.8	P	0.000732
200022_at	13813.8	P	0.000244
200023_s_at	4689.5	P	0.000244
200024_at	9531.9	P	0.000732
200025_s_at	13410.2	P	0.000244
200026_at	9445.6	P	0.000244
200027_at	5080.4	P	0.000244
200028_s_at	2368.7	P	0.000244
200029_at	10903.3	P	0.000244
200030_s_at	6117.3	P	0.000244
200031_s_at	14975.7	P	0.000244
200032_s_at	12044.2	P	0.000244
200033_at	5700	P	0.000244
200034_s_at	11924.8	P	0.000244
200035_at	275.2	P	0.00293
200036_s_at	6626.2	P	0.000244
200037_s_at	6734.9	P	0.000244
200038_s_at	15098.5	P	0.000244
200039_s_at	3781.8	P	0.000244
200040_at	3651.5	P	0.000244
200041_s_at	5395.1	P	0.000244
200042_at	2092.4	P	0.000244
200043_at	6763.1	P	0.000244
200044_at	3949.8	P	0.000244
200045_at	931.7	P	0.000244
200046_at	2513.8	P	0.000244
200047_s_at	3726	P	0.000244
200048_s_at	5108.2	P	0.000244
200049_at	396.7	P	0.000244
200050_at	5636.3	P	0.000244
200051_at	236.7	P	0.000244
200052_s_at	3316.9	P	0.000244
200053_at	482	P	0.000244
200054_at	283.2	P	0.000244
200055_at	793.2	P	0.000244
200056_s_at	1292.8	P	0.000244
200057_s_at	7237	P	0.000244
200058_s_at	2753.3	P	0.000244
200059_s_at	4139.8	P	0.000244
200060_s_at	4669.3	P	0.000244
200061_s_at	11519.4	P	0.000244
200062_s_at	8740.4	P	0.000244
200063_s_at	9863.6	P	0.000244
200064_at	7536.1	P	0.000244
200065_s_at	5206.3	P	0.000244
200066_at	975.9	P	0.000244
200067_x_at	1777.9	P	0.000244
200068_s_at	4040.6	P	0.000244
200069_at	531.1	P	0.000244
200070_at	152.5	P	0.008057
200071_at	2133	P	0.000244
200072_s_at	5868	P	0.000244
200073_s_at	4219.2	P	0.000244
200074_s_at	5925.8	P	0.000244
200075_s_at	929.6	P	0.000244
200076_s_at	544.2	P	0.000244
200077_s_at	9494	P	0.000244
200078_s_at	1898.3	P	0.000244
200079_s_at	2982.5	P	0.000244
200080_s_at	9328.9	P	0.000244
200081_s_at	12052.3	P	0.000244
200082_s_at	10780.9	P	0.000244
200083_at	1959.4	P	0.000244
200084_at	2561.8	P	0.000244
200085_s_at	4118.2	P	0.000244
200086_s_at	4518.7	P	0.000244
200087_s_at	5693.8	P	0.000244
200088_x_at	10440.7	P	0.000244
200089_s_at	11987.5	P	0.000244
200090_at	2240.5	P	0.000244
200091_s_at	8260.6	P	0.000244
200092_s_at	13483.9	P	0.000244
200093_s_at	5552.5	P	0.000244
200094_s_at	9694.8	P	0.000244
200095_x_at	14300.5	P	0.000244
200096_s_at	1575.5	P	0.000244
200097_s_at	4924.4	P	0.000244
200098_s_at	2883.2	P	0.000244
200099_s_at	13566.9	P	0.000244
200593_s_at	3094	P	0.000244
200594_x_at	6164.5	P	0.000244
200595_s_at	5080.5	P	0.000244
200596_s_at	1665.2	P	0.000244
200597_at	345.3	P	0.000244
200598_s_at	1440.1	P	0.000244
200599_s_at	4178.6	P	0.000244
200600_at	488.6	P	0.000244
200601_at	1208.7	P	0.000244
200602_at	815	P	0.000244
200603_at	3422.9	P	0.000244
200604_s_at	688.9	P	0.000244
200605_s_at	1837	P	0.000244
200606_at	2051.9	P	0.000244
200607_s_at	701.3	P	0.000732
200608_s_at	2319	P	0.000244
200609_s_at	1137.8	P	0.000732
200610_s_at	6328.5	P	0.000244
200611_s_at	904.3	P	0.000244
200612_s_at	705.8	P	0.000244
200613_at	2026.2	P	0.000244
200614_at	4934.5	P	0.000244
200615_s_at	557.1	P	0.000244
200616_s_at	596.5	P	0.001221
200617_at	327.3	P	0.000244
200618_at	768	P	0.000244
200619_at	1070.6	P	0.00293
200620_at	1881.4	P	0.000244
200621_at	328.3	P	0.000244
200622_x_at	352.2	P	0.000244
200623_s_at	271.5	P	0.000244
200624_s_at	3401.6	P	0.000244
200625_s_at	1555.3	P	0.000244
200626_s_at	5119.8	P	0.000244
200627_at	9174.4	P	0.000244
200628_s_at	493.2	P	0.010742
200629_at	619.7	P	0.000244
200630_x_at	4306.3	P	0.000244
200631_s_at	4245.3	P	0.000244
200632_s_at	1191.8	P	0.000244
200633_at	12523.3	P	0.000244
200634_at	4250	P	0.000244
200635_s_at	249.2	P	0.000244
200636_s_at	605.7	P	0.000244
200637_s_at	165	P	0.000244
200638_s_at	3574.7	P	0.000244
200639_s_at	2575.9	P	0.000244
200640_at	3576.6	P	0.000244
200641_s_at	2262.9	P	0.000244
