classification	overwrite_scope	conflicting_overwrite	nct_id	shard	query_family	outcome_measure_index	outcome_measure_title	outcome_measure_type	param_type	unit_of_measure	time_frame	population_description	group_id	group_title	n_classes_in_om	classes_contributing	class_titles_contributing	cells_CR	cells_PR	cells_SD	cells_PD	evaluable_n_sum_of_cells	reported_denominator_participants	all_categories_in_contributing_classes_sum	sum_minus_reported_denominator	categories_matched	categories_dropped	reason	source_pointer
valid	none	False	NCT03894540	ctg_results_bor_2018_2021	bor	3	Best Overall Response (BOR) in Part A	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	RECIST assessments performed at baseline (within 28 days before start of study drug), every 6 weeks +/-1 week for first 24 weeks, then every 12 weeks +/-2 weeks thereafter. Up to data cut-off for study termination (maximum of 247 days).	Efficacy population included all participants who received at least one dose of IPN60090.	OG000	IPN60090 20 mg	1	0	<untitled>	0	0	1	0	1	1	1	0	CR | PR | SD | PD	Not evaluable	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03894540] :: outcomeMeasures[3] :: groups[OG000]
valid	none	False	NCT03894540	ctg_results_bor_2018_2021	bor	3	Best Overall Response (BOR) in Part A	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	RECIST assessments performed at baseline (within 28 days before start of study drug), every 6 weeks +/-1 week for first 24 weeks, then every 12 weeks +/-2 weeks thereafter. Up to data cut-off for study termination (maximum of 247 days).	Efficacy population included all participants who received at least one dose of IPN60090.	OG001	IPN60090 40 mg	1	0	<untitled>	0	0	1	0	1	1	1	0	CR | PR | SD | PD	Not evaluable	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03894540] :: outcomeMeasures[3] :: groups[OG001]
valid	none	False	NCT03894540	ctg_results_bor_2018_2021	bor	3	Best Overall Response (BOR) in Part A	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	RECIST assessments performed at baseline (within 28 days before start of study drug), every 6 weeks +/-1 week for first 24 weeks, then every 12 weeks +/-2 weeks thereafter. Up to data cut-off for study termination (maximum of 247 days).	Efficacy population included all participants who received at least one dose of IPN60090.	OG002	IPN60090 80 mg	1	0	<untitled>	0	0	1	0	1	1	1	0	CR | PR | SD | PD	Not evaluable	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03894540] :: outcomeMeasures[3] :: groups[OG002]
valid	none	False	NCT03894540	ctg_results_bor_2018_2021	bor	3	Best Overall Response (BOR) in Part A	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	RECIST assessments performed at baseline (within 28 days before start of study drug), every 6 weeks +/-1 week for first 24 weeks, then every 12 weeks +/-2 weeks thereafter. Up to data cut-off for study termination (maximum of 247 days).	Efficacy population included all participants who received at least one dose of IPN60090.	OG003	IPN60090 120 mg	1	0	<untitled>	0	0	3	1	4	4	4	0	CR | PR | SD | PD	Not evaluable	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03894540] :: outcomeMeasures[3] :: groups[OG003]
valid	none	False	NCT03894540	ctg_results_bor_2018_2021	bor	3	Best Overall Response (BOR) in Part A	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	RECIST assessments performed at baseline (within 28 days before start of study drug), every 6 weeks +/-1 week for first 24 weeks, then every 12 weeks +/-2 weeks thereafter. Up to data cut-off for study termination (maximum of 247 days).	Efficacy population included all participants who received at least one dose of IPN60090.	OG004	IPN60090 180 mg	1	0	<untitled>	0	0	9	2	11	11	11	0	CR | PR | SD | PD	Not evaluable	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03894540] :: outcomeMeasures[3] :: groups[OG004]
valid	none	False	NCT03894540	ctg_results_bor_2018_2021	bor	3	Best Overall Response (BOR) in Part A	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	RECIST assessments performed at baseline (within 28 days before start of study drug), every 6 weeks +/-1 week for first 24 weeks, then every 12 weeks +/-2 weeks thereafter. Up to data cut-off for study termination (maximum of 247 days).	Efficacy population included all participants who received at least one dose of IPN60090.	OG005	IPN60090 240 mg	1	0	<untitled>	0	0	2	2	4	4	4	0	CR | PR | SD | PD	Not evaluable	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03894540] :: outcomeMeasures[3] :: groups[OG005]
unsupported	none	False	NCT03679754	ctg_results_bor_2018_2021	bor	10	Tumor Objective Response Rate (ORR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	48 weeks	The Evaluable Safety Population (ESP) includes subjects who have received Ad-RTS-hIL-12 and at least one dose of veledimex after Ad-RTS-hIL-12 administration. The Evaluable Safety Population (ESP) inc	OG000	Ad-RTS-hIL-12 + Veledimex	1	0	<untitled>	1	1	27	6	35	36	36	-1	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluable | No Response | Missing	sum of cells 35 != reported denominator 36 (difference -1)	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03679754] :: outcomeMeasures[10] :: groups[OG000]
unsupported	none	False	NCT04099641	ctg_results_bor_2018_2021	bor	2	Objective Response Rate (ORR)	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	From date of first dose until the date of CR, PR, first documented progression or date of death from any cause, whichever came first. Maximum exposure: 567 days.	The efficacy population include all participants enrolled in the study.	OG000	Group 1 (CPI Naïve)	1	0	<untitled>	2	6	16	31	55	61	61	-6	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluable	sum of cells 55 != reported denominator 61 (difference -6)	ctg_results_bor_2018_2021.txt :: studies[nct=NCT04099641] :: outcomeMeasures[2] :: groups[OG000]
unsupported	none	False	NCT04099641	ctg_results_bor_2018_2021	bor	2	Objective Response Rate (ORR)	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	From date of first dose until the date of CR, PR, first documented progression or date of death from any cause, whichever came first. Maximum exposure: 567 days.	The efficacy population include all participants enrolled in the study.	OG001	Group 2 (CPI Relapse)	1	0	<untitled>	0	1	9	8	18	19	19	-1	Complete Response | Partial Response | Stable Disease | Progressive Disease	Not Evaluable	sum of cells 18 != reported denominator 19 (difference -1)	ctg_results_bor_2018_2021.txt :: studies[nct=NCT04099641] :: outcomeMeasures[2] :: groups[OG001]
unsupported	none	False	NCT03256344	ctg_results_bor_2018_2021	bor	2	Best Overall Response (BOR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every 12 weeks (± 28 days) up to approximately 3.5 years.	Safety Analysis Set: All participants who received at least 1 dose of talimogene laherparepvec or atezolizumab.	OG000	Talimogene Laherparepvec With Atezolizumab: Triple Negative Breast Cancer (TNBC)	1	0	<untitled>	0	1	1	3	5	10	10	-5	CR | PR | SD | PD	UE | Not done	sum of cells 5 != reported denominator 10 (difference -5)	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03256344] :: outcomeMeasures[2] :: groups[OG000]
