classification	overwrite_scope	conflicting_overwrite	nct_id	shard	query_family	outcome_measure_index	outcome_measure_title	outcome_measure_type	param_type	unit_of_measure	time_frame	population_description	group_id	group_title	n_classes_in_om	classes_contributing	class_titles_contributing	cells_CR	cells_PR	cells_SD	cells_PD	evaluable_n_sum_of_cells	reported_denominator_participants	all_categories_in_contributing_classes_sum	sum_minus_reported_denominator	categories_matched	categories_dropped	reason	source_pointer
unsupported	none	False	NCT02762513	ctg_results_bor_2014_2017	bor	3	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	16 Weeks		OG000	Axitinib	1	0	<untitled>	1	11	3	10	25	28	28	-3	Complete response | Partial response | Stable disease | Progressive disease	Off treatment before 8-wk scan	sum of cells 25 != reported denominator 28 (difference -3)	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02762513] :: outcomeMeasures[3] :: groups[OG000]
valid	none	False	NCT02402764	ctg_results_bor_2014_2017	bor	0	Clinical Benefit Rate	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	Up to 10 months	All participants	OG000	Selinexor Treatment	1	0	<untitled>	0	0	3	7	10	10	10	0	Complete Response | Partial Response | Stable Disease | Progressive Disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02402764] :: outcomeMeasures[0] :: groups[OG000]
unsupported	within_class	True	NCT02431260	ctg_results_bor_2014_2017	bor	7	Objective Response Rate (ORR)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Baseline through end of study, up to 6 months	As a result of early termination of the study, only participants in Part 2 of the study were evaluated; Treatment Group C was not evaluated due to early termination from the study.	OG000	Part 2 / Treatment Group A: 20 MG BID INCB054329	1	0	<untitled>	0	0	4	5	9	10	10	-1	Complete response (CR) | Partial response (PR) | Stable disease (SD) >= 6 months | Stable disease (SD) < 6 months | Progressive disease (PD)	Not evaluable (NE)	cross-class overwrite with conflicting values for SD (last class wins)	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02431260] :: outcomeMeasures[7] :: groups[OG000]
unsupported	none	False	NCT02566993	ctg_results_bor_2014_2017	bor	7	Best Antitumor Response by Independent Review Committee	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every three months up to death or study termination, a period of approximately 3.5 years		OG000	Lurbinectedin/Doxorubicin	1	0	<untitled>	8	89	111	74	282	307	307	-25	Complete response | Partial response | Stable disease | Progressive disease	Unknown	sum of cells 282 != reported denominator 307 (difference -25)	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02566993] :: outcomeMeasures[7] :: groups[OG000]
unsupported	none	False	NCT02566993	ctg_results_bor_2014_2017	bor	7	Best Antitumor Response by Independent Review Committee	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every three months up to death or study termination, a period of approximately 3.5 years		OG001	Topotecan or Cyclophosphamide/Doxorubicin/Vincristine	1	0	<untitled>	4	87	116	52	259	306	306	-47	Complete response | Partial response | Stable disease | Progressive disease	Unknown	sum of cells 259 != reported denominator 306 (difference -47)	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02566993] :: outcomeMeasures[7] :: groups[OG001]
valid	none	False	NCT02347917	ctg_results_bor_2014_2017	bor	5	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every 6 weeks from the first dose of BBI608 until Week 30, and every 9 weeks from Week 31.	modified ITT population. Efficacy was analyzed using the efficacy analysis population (i.e., modified ITT population; mITT), separately for Phase 1 part (n=4), Phase 2 part (n=24) and Phase 2 part inc	OG000	NSCLC: BBI608 + Pem + CDDP (Phase 1 Part)	1	0	<untitled>	0	0	3	0	3	3	3	0	Complete response (CR) | Partial response (PR) | Stable disease (SD) | Progressive disease (PD)	Not evaluated (NE)	single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02347917] :: outcomeMeasures[5] :: groups[OG000]
unsupported	none	False	NCT02347917	ctg_results_bor_2014_2017	bor	5	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every 6 weeks from the first dose of BBI608 until Week 30, and every 9 weeks from Week 31.	modified ITT population. Efficacy was analyzed using the efficacy analysis population (i.e., modified ITT population; mITT), separately for Phase 1 part (n=4), Phase 2 part (n=24) and Phase 2 part inc	OG002	MPM or NSCLC: BBI608 + Pem + CDDP (Phase 1 Part)	1	0	<untitled>	0	0	3	0	3	4	4	-1	Complete response (CR) | Partial response (PR) | Stable disease (SD) | Progressive disease (PD)	Not evaluated (NE)	sum of cells 3 != reported denominator 4 (difference -1)	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02347917] :: outcomeMeasures[5] :: groups[OG002]
unsupported	none	False	NCT02347917	ctg_results_bor_2014_2017	bor	5	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every 6 weeks from the first dose of BBI608 until Week 30, and every 9 weeks from Week 31.	modified ITT population. Efficacy was analyzed using the efficacy analysis population (i.e., modified ITT population; mITT), separately for Phase 1 part (n=4), Phase 2 part (n=24) and Phase 2 part inc	OG003	MPM: BBI608 + Pem + CDDP (Phase 2 Part)	1	0	<untitled>	0	8	11	2	21	24	24	-3	Complete response (CR) | Partial response (PR) | Stable disease (SD) | Progressive disease (PD)	Not evaluated (NE)	sum of cells 21 != reported denominator 24 (difference -3)	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02347917] :: outcomeMeasures[5] :: groups[OG003]
unsupported	none	False	NCT02347917	ctg_results_bor_2014_2017	bor	5	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every 6 weeks from the first dose of BBI608 until Week 30, and every 9 weeks from Week 31.	modified ITT population. Efficacy was analyzed using the efficacy analysis population (i.e., modified ITT population; mITT), separately for Phase 1 part (n=4), Phase 2 part (n=24) and Phase 2 part inc	OG004	MPM: BBI608 + Pem + CDDP (Phase 2 Part Including Participants With MPM in Phase 1 Part)	1	0	<untitled>	0	8	11	2	21	25	25	-4	Complete response (CR) | Partial response (PR) | Stable disease (SD) | Progressive disease (PD)	Not evaluated (NE)	sum of cells 21 != reported denominator 25 (difference -4)	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02347917] :: outcomeMeasures[5] :: groups[OG004]
unsupported	none	False	NCT03093155	ctg_results_bor_2014_2017	bor	4	Differences in Response to the Combination of Ixabepilone and Bevacizumab in Relationship to Previous Treatment With Bevacizumab and Taxanes	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to 41 months	Those with prior Taxanes treatment.	OG000	Ixabepilone	1	0	<untitled>	0	0	7	5	12	13	13	-1	Complete Response (CR) | Partial Response (PR) | Stable Disease (SD) | Progressive Disease (PD)	Not Assessed	sum of cells 12 != reported denominator 13 (difference -1)	ctg_results_bor_2014_2017.txt :: studies[nct=NCT03093155] :: outcomeMeasures[4] :: groups[OG000]
