classification	overwrite_scope	conflicting_overwrite	nct_id	shard	query_family	outcome_measure_index	outcome_measure_title	outcome_measure_type	param_type	unit_of_measure	time_frame	population_description	group_id	group_title	n_classes_in_om	classes_contributing	class_titles_contributing	cells_CR	cells_PR	cells_SD	cells_PD	evaluable_n_sum_of_cells	reported_denominator_participants	all_categories_in_contributing_classes_sum	sum_minus_reported_denominator	categories_matched	categories_dropped	reason	source_pointer
unsupported	none	False	NCT01188876	ctg_results_bor_2010_2013	bor	1	Best Overall Response	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	1 Year		OG000	Carboplatin/Pralatrexate	1	0	<untitled>	0	19	24	5	48	50	50	-2	Complete Response | Partial Response | Stable Disease | Progressive Disease	Unevaluable	sum of cells 48 != reported denominator 50 (difference -2)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01188876] :: outcomeMeasures[1] :: groups[OG000]
valid	none	False	NCT01524991	ctg_results_bor_2010_2013	bor	2	Best Overall Response Rate	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	12 months		OG000	Treatment	1	0	<untitled>	6	19	10	1	36	36	36	0	Complete Response (CR) | Partial Response (PR) | Stable Disease (SD) | Progressive Disease (PD)		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01524991] :: outcomeMeasures[2] :: groups[OG000]
ambiguous	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	3	Best Overall Response Based on All Assessment	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Screening, Week 1, Week 4, Week 7, Week 8, Week 11, Week 14, Week 15, Week 18 and at End of Treatment (EOT)	Treated set	OG000	BI 836826 1 mg iv (Caucasian Patients)	1	0	<untitled>	0	0	1	0	1	1	1	0	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG000]
unsupported	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	3	Best Overall Response Based on All Assessment	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Screening, Week 1, Week 4, Week 7, Week 8, Week 11, Week 14, Week 15, Week 18 and at End of Treatment (EOT)	Treated set	OG001	BI 836826 3 mg iv (Caucasian Patients)	1	0	<untitled>	0	0	3	0	3	4	4	-1	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR ; sum of cells 3 != reported denominator 4 (difference -1)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG001]
ambiguous	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	3	Best Overall Response Based on All Assessment	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Screening, Week 1, Week 4, Week 7, Week 8, Week 11, Week 14, Week 15, Week 18 and at End of Treatment (EOT)	Treated set	OG002	BI 836826 9 mg iv (Caucasian Patients)	1	0	<untitled>	0	0	2	1	3	3	3	0	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG002]
ambiguous	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	3	Best Overall Response Based on All Assessment	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Screening, Week 1, Week 4, Week 7, Week 8, Week 11, Week 14, Week 15, Week 18 and at End of Treatment (EOT)	Treated set	OG003	BI 836826 25 mg iv (Caucasian Patients)	1	0	<untitled>	0	0	2	2	4	4	4	0	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG003]
unsupported	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	3	Best Overall Response Based on All Assessment	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Screening, Week 1, Week 4, Week 7, Week 8, Week 11, Week 14, Week 15, Week 18 and at End of Treatment (EOT)	Treated set	OG004	BI 836826 50 mg iv (Caucasian Patients)	1	0	<untitled>	0	1	3	1	5	6	6	-1	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR ; sum of cells 5 != reported denominator 6 (difference -1)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG004]
unsupported	within_class	True	NCT01403948	ctg_results_bor_2010_2013	bor	3	Best Overall Response Based on All Assessment	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Screening, Week 1, Week 4, Week 7, Week 8, Week 11, Week 14, Week 15, Week 18 and at End of Treatment (EOT)	Treated set	OG005	BI 836826 50mg iv (Korean Patients)	1	0	<untitled>	0	0	3	3	6	7	7	-1	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	cross-class overwrite with conflicting values for CR (last class wins)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG005]
unsupported	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	3	Best Overall Response Based on All Assessment	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Screening, Week 1, Week 4, Week 7, Week 8, Week 11, Week 14, Week 15, Week 18 and at End of Treatment (EOT)	Treated set	OG006	BI 836826 100 mg iv (Caucasian Patients)	1	0	<untitled>	0	3	2	0	5	6	6	-1	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR ; sum of cells 5 != reported denominator 6 (difference -1)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG006]
ambiguous	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	3	Best Overall Response Based on All Assessment	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Screening, Week 1, Week 4, Week 7, Week 8, Week 11, Week 14, Week 15, Week 18 and at End of Treatment (EOT)	Treated set	OG007	BI 836826 100 mg iv (Korean Patients)	1	0	<untitled>	0	0	2	2	4	4	4	0	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG007]
unsupported	within_class	False	NCT01403948	ctg_results_bor_2010_2013	bor	3	Best Overall Response Based on All Assessment	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Screening, Week 1, Week 4, Week 7, Week 8, Week 11, Week 14, Week 15, Week 18 and at End of Treatment (EOT)	Treated set	OG008	BI 836826 150 mg iv (Caucasian Patients)	1	0	<untitled>	0	0	0	5	5	6	6	-1	Complete remission | Complete remission unconfirmed | Partial remission | Stable disease | Progressive disease	Missing	repeated cross-class assignment (values agreed) for CR ; sum of cells 5 != reported denominator 6 (difference -1)	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG008]
