nct	selected_cohorts	sum_selected_denominators	registered_enrollment	enrollment_type	excess
NCT01572038	6	3587	1436	ACTUAL	2151
NCT00069095	4	3304	2035	ACTUAL	1269
NCT02599402	9	1640	533	ACTUAL	1107
NCT04680052	6	1202	654	ACTUAL	548
NCT02031458	4	1179	667	ACTUAL	512
NCT01621490	22	680	170	ACTUAL	510
NCT03096847	4	974	502	ACTUAL	472
NCT02872714	8	700	263	ACTUAL	437
NCT00806156	6	609	178	ACTUAL	431
NCT04282109	16	564	141	ACTUAL	423
NCT03195491	3	800	400	ACTUAL	400
NCT02404441	14	696	319	ACTUAL	377
NCT01928394	25	1533	1163	ACTUAL	370
NCT02872116	4	2394	2031	ACTUAL	363
NCT03248492	5	613	253	ACTUAL	360
NCT02848651	7	509	153	ACTUAL	356
NCT01024231	11	434	127	ACTUAL	307
NCT03001882	10	531	230	ACTUAL	301
NCT01078662	6	596	298	ACTUAL	298
NCT02910583	7	608	323	ACTUAL	285
NCT01909453	6	1201	921	ACTUAL	280
NCT03778229	6	642	367	ACTUAL	275
NCT00502307	2	544	272	ACTUAL	272
NCT01655693	4	660	397	ACTUAL	263
NCT01698918	3	454	202	ACTUAL	252
NCT02319044	4	514	267	ACTUAL	247
NCT03176238	3	470	235	ACTUAL	235
NCT00290771	3	462	231	ACTUAL	231
NCT01602315	10	408	179	ACTUAL	229
NCT03468426	9	476	252	ACTUAL	224
NCT01915498	15	558	345	ACTUAL	213
NCT01085136	3	1360	1154	ACTUAL	206
NCT02027428	3	622	427	ACTUAL	195
NCT02625623	3	556	371	ACTUAL	185
NCT02674568	2	525	342	ACTUAL	183
NCT02963493	3	331	157	ACTUAL	174
NCT00804856	18	350	180	ACTUAL	170
NCT02202746	3	346	178	ACTUAL	168
NCT02414139	12	533	373	ACTUAL	160
NCT04436107	14	226	66	ACTUAL	160
NCT00191152	4	633	475	ACTUAL	158
NCT01089413	4	356	201	ACTUAL	155
NCT02983799	9	423	272	ACTUAL	151
NCT01084863	4	286	143	ACTUAL	143
NCT01324830	22	207	69	ACTUAL	138
NCT01491672	4	268	134	ACTUAL	134
NCT02391116	8	201	67	ACTUAL	134
NCT02735980	6	266	133	ACTUAL	133
NCT04280081	9	207	77	ACTUAL	130
NCT02570308	3	273	146	ACTUAL	127
NCT03773302	6	174	48	ACTUAL	126
NCT00146172	6	198	73	ACTUAL	125
NCT03410693	4	300	175	ACTUAL	125
NCT04363801	9	368	247	ACTUAL	121
NCT01494506	4	536	417	ACTUAL	119
NCT00790400	3	230	118	ACTUAL	112
NCT00668148	6	222	113	ACTUAL	109
NCT01251536	4	216	108	ACTUAL	108
NCT01677858	6	220	116	ACTUAL	104
NCT01677741	10	184	85	ACTUAL	99
NCT01704287	5	638	540	ACTUAL	98
NCT00152477	4	262	165	ACTUAL	97
NCT03006926	2	200	104	ACTUAL	96
NCT01063907	6	190	95	ACTUAL	95
NCT03480646	12	268	175	ACTUAL	93
NCT00451555	4	246	156	ACTUAL	90
NCT02924376	5	236	147	ACTUAL	89
NCT03284957	18	225	136	ACTUAL	89
NCT01217957	3	153	65	ACTUAL	88
NCT02606461	6	429	342	ACTUAL	87
NCT04194944	3	344	261	ACTUAL	83
NCT00171834	8	170	89	ACTUAL	81
NCT02399085	2	160	81	ACTUAL	79
NCT00462761	13	152	76	ACTUAL	76
NCT02513472	3	334	258	ACTUAL	76
NCT02150967	2	216	143	ACTUAL	73
NCT02708680	4	162	89	ACTUAL	73
NCT03269136	21	174	101	ACTUAL	73
NCT04287868	4	124	51	ACTUAL	73
NCT01289041	3	140	70	ACTUAL	70
NCT01708161	7	115	47	ACTUAL	68
NCT02411591	4	132	66	ACTUAL	66
NCT02711956	4	140	75	ACTUAL	65
NCT02335983	8	171	107	ACTUAL	64
NCT03200717	3	124	62	ACTUAL	62
NCT02451930	3	132	71	ACTUAL	61
NCT00137449	3	120	60	ACTUAL	60
NCT03329690	6	293	233	ACTUAL	60
NCT04033991	2	743	684	ACTUAL	59
NCT00371345	9	150	92	ACTUAL	58
NCT02020577	3	116	58	ACTUAL	58
NCT02159066	6	216	158	ACTUAL	58
NCT03074318	9	91	35	ACTUAL	56
NCT03481556	8	112	56	ACTUAL	56
NCT02754141	24	290	235	ACTUAL	55
NCT02347917	6	82	28	ACTUAL	54
NCT01900652	4	163	111	ACTUAL	52
NCT02432846	6	140	88	ACTUAL	52
NCT04750824	4	162	110	ACTUAL	52
NCT01816594	6	100	50	ACTUAL	50
NCT03410108	2	151	104	ACTUAL	47
NCT02337829	6	94	48	ACTUAL	46
NCT03774082	4	90	46	ACTUAL	44
